,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.9752748,0.8013972,3,30
1,4,0.9878108,0.9060709,3,30
2,6,0.9918463,0.9505331,3,30
3,10,0.9952316,0.9747856,3,30
4,18,0.9975652,0.98896563,3,30
5,genome_wide,0.84629714,0.6383999,3,30
0,3,0.0004956249,,30,100
1,4,0.00672279,0.96084076,30,100
2,6,0.49899986,0.9611608,30,100
3,10,0.99442965,0.97573245,30,100
4,18,0.9975652,0.98923004,30,100
5,genome_wide,0.07572556,0.9708513,30,100
0,3,0.9828329,0.73617625,3,10
1,4,0.9878402,0.88992214,3,10
2,6,0.9918808,0.9474686,3,10
3,10,0.9952475,0.9738835,3,10
4,18,0.99757475,0.9886176,3,10
5,genome_wide,0.95745784,0.27049544,3,10
0,3,0.0004956249,,100,100
1,4,0.00672279,0.96084076,100,100
2,6,0.49931115,0.96115905,100,100
3,10,0.99443394,0.9757287,100,100
4,18,0.9975652,0.98920643,100,100
5,genome_wide,0.07573467,0.97084963,100,100
0,3,0.9828329,0.7361243,3,3
1,4,0.9878402,0.88982993,3,3
2,6,0.9918808,0.9474686,3,3
3,10,0.9952475,0.9738835,3,3
4,18,0.99757475,0.9886176,3,3
5,genome_wide,0.95745784,0.2704933,3,3
0,3,0.0004956249,,300,100
1,4,0.00695613,0.96084076,300,100
2,6,0.49931115,0.9611444,300,100
3,10,0.99443394,0.9757198,300,100
4,18,0.9975652,0.98920405,300,100
5,genome_wide,0.0757433,0.970843,300,100
0,3,0.00055152207,,1000,100
1,4,0.007035407,0.96084076,1000,100
2,6,0.49931115,0.9611512,1000,100
3,10,0.99443394,0.97567534,1000,100
4,18,0.9975652,0.98920405,1000,100
5,genome_wide,0.075753085,0.97083247,1000,100
0,3,0.9828337,0.73389447,100,3
1,4,0.9878434,0.8884766,100,3
2,6,0.9918844,0.94716483,100,3
3,10,0.995255,0.9737503,100,3
4,18,0.99757475,0.98859465,100,3
5,genome_wide,0.9574613,0.2704534,100,3
0,3,0.97529554,0.80070275,1000,30
1,4,0.9878178,0.9037822,1000,30
2,6,0.9918538,0.9491717,1000,30
3,10,0.9952391,0.9745689,1000,30
4,18,0.9975652,0.98885775,1000,30
5,genome_wide,0.84633374,0.63806045,1000,30
0,3,0.97528046,0.8012337,300,30
1,4,0.98781455,0.9053686,300,30
2,6,0.99184954,0.9501814,300,30
3,10,0.9952391,0.97469527,300,30
4,18,0.9975652,0.988856,300,30
5,genome_wide,0.8463133,0.6382884,300,30
0,3,0.9828756,0.7207412,1000,10
1,4,0.9878584,0.8805525,1000,10
2,6,0.9918896,0.9451219,1000,10
3,10,0.99525595,0.9732191,1000,10
4,18,0.99757606,0.98817784,1000,10
5,genome_wide,0.9575031,0.27016953,1000,10
0,3,0.98283315,0.73539954,30,3
1,4,0.98784083,0.88958704,30,3
2,6,0.9918808,0.94738245,30,3
3,10,0.9952475,0.9738835,30,3
4,18,0.99757475,0.9886176,30,3
5,genome_wide,0.957458,0.27048275,30,3
0,3,0.9828447,0.73040646,300,10
1,4,0.9878487,0.8870554,300,10
2,6,0.991885,0.9467536,300,10
3,10,0.995255,0.97365856,300,10
4,18,0.99757475,0.9884057,300,10
5,genome_wide,0.9574702,0.2703906,300,10
0,3,0.98283315,0.7354514,30,10
1,4,0.98784083,0.88967925,30,10
2,6,0.9918808,0.94738245,30,10
3,10,0.9952475,0.9738835,30,10
4,18,0.99757475,0.9886176,30,10
5,genome_wide,0.957458,0.2704849,30,10
0,3,0.9828447,0.73035526,300,3
1,4,0.9878487,0.8869637,300,3
2,6,0.991885,0.9467536,300,3
3,10,0.995255,0.97365856,300,3
4,18,0.99757475,0.9884057,300,3
5,genome_wide,0.9574702,0.27038845,300,3
0,3,0.9828756,0.7206645,1000,3
1,4,0.9878584,0.88046205,1000,3
2,6,0.9918896,0.9451199,1000,3
3,10,0.99525595,0.97317576,1000,3
4,18,0.99757606,0.98817784,1000,3
5,genome_wide,0.9575034,0.27016526,1000,3
0,3,0.975275,0.801344,100,30
1,4,0.98781085,0.90584517,100,30
2,6,0.99184895,0.95039487,100,30
3,10,0.9952391,0.9747361,100,30
4,18,0.9975652,0.9889423,100,30
5,genome_wide,0.84629756,0.63836807,100,30
0,3,0.975275,0.8013795,30,30
1,4,0.9878108,0.9060277,30,30
2,6,0.9918463,0.95046735,30,30
3,10,0.9952316,0.9747856,30,30
4,18,0.9975652,0.98896563,30,30
5,genome_wide,0.84629726,0.63838375,30,30
0,3,0.0004956249,,3,100
1,4,0.00672279,0.96084076,3,100
2,6,0.49899986,0.9611608,3,100
3,10,0.99442965,0.97573245,3,100
4,18,0.9975652,0.98923004,3,100
5,genome_wide,0.07572556,0.9708513,3,100
0,3,0.9828337,0.73394614,100,10
1,4,0.9878434,0.8885686,100,10
2,6,0.9918844,0.94716483,100,10
3,10,0.995255,0.9737503,100,10
4,18,0.99757475,0.98859465,100,10
5,genome_wide,0.9574613,0.27045554,100,10
