,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.9921468,0.84858537,3,30
1,4,0.9961517,0.9049387,3,30
2,6,0.99737537,0.94754916,3,30
3,10,0.9982804,0.9726064,3,30
4,18,0.9990908,0.9883806,3,30
5,genome_wide,0.99072134,0.7690646,3,30
0,3,0.33997646,0.8962481,30,100
1,4,0.94284725,0.9176499,30,100
2,6,0.9962071,0.9507446,30,100
3,10,0.99823695,0.9737275,30,100
4,18,0.9990865,0.98872995,30,100
5,genome_wide,0.5463934,0.93958515,30,100
0,3,0.9921468,0.84838915,3,10
1,4,0.99615175,0.90491676,3,10
2,6,0.9973754,0.9475281,3,10
3,10,0.99828047,0.97260165,3,10
4,18,0.9990908,0.98837924,3,10
5,genome_wide,0.99072134,0.7690364,3,10
0,3,0.33998966,0.8962524,100,100
1,4,0.94285,0.91765136,100,100
2,6,0.9962071,0.95073014,100,100
3,10,0.998237,0.9736974,100,100
4,18,0.9990865,0.98871493,100,100
5,genome_wide,0.54640365,0.93957824,100,100
0,3,0.9921468,0.84838915,3,3
1,4,0.99615175,0.90491676,3,3
2,6,0.9973754,0.9475281,3,3
3,10,0.99828047,0.97260165,3,3
4,18,0.9990908,0.98837924,3,3
5,genome_wide,0.99072134,0.7690364,3,3
0,3,0.34004793,0.8962843,300,100
1,4,0.94285095,0.9176306,300,100
2,6,0.99620986,0.95067763,300,100
3,10,0.99823725,0.9736077,300,100
4,18,0.9990865,0.98867834,300,100
5,genome_wide,0.54643166,0.93954724,300,100
0,3,0.3403754,0.89637125,1000,100
1,4,0.9428562,0.9176005,1000,100
2,6,0.99621207,0.95047736,1000,100
3,10,0.99823856,0.97343665,1000,100
4,18,0.9990867,0.9886419,1000,100
5,genome_wide,0.5465257,0.9394814,1000,100
0,3,0.9921557,0.8452943,1000,30
1,4,0.9961606,0.9009918,1000,30
2,6,0.99738973,0.9457251,1000,30
3,10,0.9982851,0.97173643,1000,30
4,18,0.99909157,0.9880808,1000,30
5,genome_wide,0.99073,0.76816535,1000,30
0,3,0.99214727,0.8479718,100,3
1,4,0.99615407,0.90459806,100,3
2,6,0.9973771,0.94730455,100,3
3,10,0.99828213,0.9725131,100,3
4,18,0.99909085,0.988355,100,3
5,genome_wide,0.9907223,0.76895946,100,3
0,3,0.992152,0.84755725,300,30
1,4,0.996156,0.90380126,300,30
2,6,0.9973812,0.94694835,300,30
3,10,0.99828273,0.9723225,300,30
4,18,0.9990911,0.98827904,300,30
5,genome_wide,0.99072516,0.76880217,300,30
0,3,0.9921557,0.84507126,1000,10
1,4,0.9961607,0.9009671,1000,10
2,6,0.9973898,0.9456864,1000,10
3,10,0.9982851,0.9717227,1000,10
4,18,0.99909157,0.9880731,1000,10
5,genome_wide,0.99073,0.76813114,1000,10
0,3,0.9921469,0.8483539,30,3
1,4,0.9961523,0.90480685,30,3
2,6,0.99737656,0.9474935,30,3
3,10,0.998282,0.9725543,30,3
4,18,0.99909085,0.9883776,30,3
5,genome_wide,0.990722,0.7690179,30,3
0,3,0.9921521,0.8473565,300,10
1,4,0.99615604,0.9037786,300,10
2,6,0.9973812,0.9469215,300,10
3,10,0.99828273,0.97231776,300,10
4,18,0.9990911,0.9882777,300,10
5,genome_wide,0.99072516,0.7687728,300,10
0,3,0.9921469,0.8483539,30,10
1,4,0.9961523,0.90480685,30,10
2,6,0.99737656,0.9474935,30,10
3,10,0.998282,0.9725543,30,10
4,18,0.99909085,0.9883776,30,10
5,genome_wide,0.990722,0.7690179,30,10
0,3,0.9921521,0.8473565,300,3
1,4,0.99615604,0.9037786,300,3
2,6,0.9973812,0.9469215,300,3
3,10,0.99828273,0.97231776,300,3
4,18,0.9990911,0.9882777,300,3
5,genome_wide,0.99072516,0.7687728,300,3
0,3,0.99214715,0.84816766,100,30
1,4,0.99615395,0.9046199,100,30
2,6,0.997377,0.94732565,100,30
3,10,0.99828213,0.97251785,100,30
4,18,0.99909085,0.98835635,100,30
5,genome_wide,0.9907223,0.76898766,100,30
0,3,0.9921557,0.84507126,1000,3
1,4,0.9961607,0.9009671,1000,3
2,6,0.9973898,0.9456864,1000,3
3,10,0.9982851,0.9717227,1000,3
4,18,0.99909157,0.9880731,1000,3
5,genome_wide,0.99073,0.76813114,1000,3
0,3,0.9921468,0.8485499,30,30
1,4,0.99615216,0.9048288,30,30
2,6,0.99737644,0.9475144,30,30
3,10,0.998282,0.9725591,30,30
4,18,0.99909085,0.98837894,30,30
5,genome_wide,0.990722,0.7690458,30,30
0,3,0.33997083,0.8962525,3,100
1,4,0.94284725,0.9176554,3,100
2,6,0.9962071,0.95075524,3,100
3,10,0.99823695,0.9737337,3,100
4,18,0.9990865,0.98873043,3,100
5,genome_wide,0.5463877,0.939588,3,100
0,3,0.99214727,0.8479718,100,10
1,4,0.99615407,0.90459806,100,10
2,6,0.9973771,0.94730455,100,10
3,10,0.99828213,0.9725131,100,10
4,18,0.99909085,0.988355,100,10
5,genome_wide,0.9907223,0.76895946,100,10
