,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.9989882,0.9851776,1000,10
1,4,0.9994511,0.9906785,1000,10
2,6,0.9996742,0.99473333,1000,10
3,10,0.99981356,0.99703056,1000,10
4,18,0.9999038,0.9985048,1000,10
5,genome_wide,0.989689,0.92727315,1000,10
0,3,0.9989882,0.9851776,300,10
1,4,0.9994511,0.9906785,300,10
2,6,0.9996742,0.99473333,300,10
3,10,0.99981356,0.99703056,300,10
4,18,0.9999038,0.9985048,300,10
5,genome_wide,0.989689,0.92727315,300,10
0,3,0.9989882,0.9851776,30,3
1,4,0.9994511,0.9906785,30,3
2,6,0.9996742,0.99473333,30,3
3,10,0.99981356,0.99703056,30,3
4,18,0.9999038,0.9985048,30,3
5,genome_wide,0.989689,0.92727315,30,3
0,3,0.9989882,0.9851776,100,3
1,4,0.9994511,0.9906785,100,3
2,6,0.9996742,0.99473333,100,3
3,10,0.99981356,0.99703056,100,3
4,18,0.9999038,0.9985048,100,3
5,genome_wide,0.989689,0.92727315,100,3
0,3,0.9989882,0.9851776,1000,30
1,4,0.9994511,0.9906785,1000,30
2,6,0.9996742,0.99473333,1000,30
3,10,0.99981356,0.99703056,1000,30
4,18,0.9999038,0.9985048,1000,30
5,genome_wide,0.989689,0.92727315,1000,30
0,3,0.9989882,0.9851776,300,30
1,4,0.9994511,0.9906785,300,30
2,6,0.9996742,0.99473333,300,30
3,10,0.99981356,0.99703056,300,30
4,18,0.9999038,0.9985048,300,30
5,genome_wide,0.989689,0.92727315,300,30
0,3,0.9989882,0.9851776,30,30
1,4,0.9994511,0.9906785,30,30
2,6,0.9996742,0.99473333,30,30
3,10,0.99981356,0.99703056,30,30
4,18,0.9999038,0.9985048,30,30
5,genome_wide,0.989689,0.92727315,30,30
0,3,0.9989882,0.9851776,100,10
1,4,0.9994511,0.9906785,100,10
2,6,0.9996742,0.99473333,100,10
3,10,0.99981356,0.99703056,100,10
4,18,0.9999038,0.9985048,100,10
5,genome_wide,0.989689,0.92727315,100,10
0,3,0.9989882,0.9851776,3,100
1,4,0.9994511,0.9906785,3,100
2,6,0.9996742,0.99473333,3,100
3,10,0.99981356,0.99703056,3,100
4,18,0.9999038,0.9985048,3,100
5,genome_wide,0.989689,0.92727315,3,100
0,3,0.9989882,0.9851776,300,3
1,4,0.9994511,0.9906785,300,3
2,6,0.9996742,0.99473333,300,3
3,10,0.99981356,0.99703056,300,3
4,18,0.9999038,0.9985048,300,3
5,genome_wide,0.989689,0.92727315,300,3
0,3,0.9989882,0.9851776,30,10
1,4,0.9994511,0.9906785,30,10
2,6,0.9996742,0.99473333,30,10
3,10,0.99981356,0.99703056,30,10
4,18,0.9999038,0.9985048,30,10
5,genome_wide,0.989689,0.92727315,30,10
0,3,0.9989882,0.9851776,1000,3
1,4,0.9994511,0.9906785,1000,3
2,6,0.9996742,0.99473333,1000,3
3,10,0.99981356,0.99703056,1000,3
4,18,0.9999038,0.9985048,1000,3
5,genome_wide,0.989689,0.92727315,1000,3
0,3,0.9989882,0.9851776,100,30
1,4,0.9994511,0.9906785,100,30
2,6,0.9996742,0.99473333,100,30
3,10,0.99981356,0.99703056,100,30
4,18,0.9999038,0.9985048,100,30
5,genome_wide,0.989689,0.92727315,100,30
0,3,0.9989882,0.9851776,100,100
1,4,0.9994511,0.9906785,100,100
2,6,0.9996742,0.99473333,100,100
3,10,0.99981356,0.99703056,100,100
4,18,0.9999038,0.9985048,100,100
5,genome_wide,0.989689,0.92727315,100,100
0,3,0.9989882,0.9851776,3,10
1,4,0.9994511,0.9906785,3,10
2,6,0.9996742,0.99473333,3,10
3,10,0.99981356,0.99703056,3,10
4,18,0.9999038,0.9985048,3,10
5,genome_wide,0.989689,0.92727315,3,10
0,3,0.9989882,0.9851776,3,30
1,4,0.9994511,0.9906785,3,30
2,6,0.9996742,0.99473333,3,30
3,10,0.99981356,0.99703056,3,30
4,18,0.9999038,0.9985048,3,30
5,genome_wide,0.989689,0.92727315,3,30
0,3,0.9989882,0.9851776,30,100
1,4,0.9994511,0.9906785,30,100
2,6,0.9996742,0.99473333,30,100
3,10,0.99981356,0.99703056,30,100
4,18,0.9999038,0.9985048,30,100
5,genome_wide,0.989689,0.92727315,30,100
0,3,0.9989882,0.9851776,300,100
1,4,0.9994511,0.9906785,300,100
2,6,0.9996742,0.99473333,300,100
3,10,0.99981356,0.99703056,300,100
4,18,0.9999038,0.9985048,300,100
5,genome_wide,0.989689,0.92727315,300,100
0,3,0.9989882,0.9851776,1000,100
1,4,0.9994511,0.9906785,1000,100
2,6,0.9996742,0.99473333,1000,100
3,10,0.99981356,0.99703056,1000,100
4,18,0.9999038,0.9985048,1000,100
5,genome_wide,0.989689,0.92727315,1000,100
0,3,0.9989882,0.9851776,3,3
1,4,0.9994511,0.9906785,3,3
2,6,0.9996742,0.99473333,3,3
3,10,0.99981356,0.99703056,3,3
4,18,0.9999038,0.9985048,3,3
5,genome_wide,0.989689,0.92727315,3,3
