,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.315755,0.90555286,1000,100
1,4,0.9210012,0.9295529,1000,100
2,6,0.99640113,0.9579628,1000,100
3,10,0.99764967,0.9799664,1000,100
4,18,0.99848264,0.99184245,1000,100
5,genome_wide,0.20124692,0.9343597,1000,100
0,3,0.315755,0.90555286,300,100
1,4,0.9210012,0.9295529,300,100
2,6,0.99640113,0.9579628,300,100
3,10,0.99764967,0.9799664,300,100
4,18,0.99848264,0.99184245,300,100
5,genome_wide,0.20124692,0.9343597,300,100
0,3,0.9926122,0.7872343,3,3
1,4,0.9944381,0.9142173,3,3
2,6,0.99640405,0.95649725,3,3
3,10,0.99764967,0.97964877,3,3
4,18,0.99848264,0.99184245,3,3
5,genome_wide,0.9762543,0.28629377,3,3
0,3,0.9926122,0.7872343,3,10
1,4,0.9944381,0.9142173,3,10
2,6,0.99640405,0.95649725,3,10
3,10,0.99764967,0.97964877,3,10
4,18,0.99848264,0.99184245,3,10
5,genome_wide,0.9762543,0.28629377,3,10
0,3,0.315755,0.90555286,100,100
1,4,0.9210012,0.9295529,100,100
2,6,0.99640113,0.9579628,100,100
3,10,0.99764967,0.9799664,100,100
4,18,0.99848264,0.99184245,100,100
5,genome_wide,0.20124692,0.9343597,100,100
0,3,0.315755,0.90555286,30,100
1,4,0.9210012,0.9295529,30,100
2,6,0.99640113,0.95811105,30,100
3,10,0.99764967,0.9799664,30,100
4,18,0.99848264,0.99184245,30,100
5,genome_wide,0.20124692,0.9343919,30,100
0,3,0.9926118,0.78735137,3,30
1,4,0.9944381,0.9143556,3,30
2,6,0.99640405,0.95661384,3,30
3,10,0.99764967,0.97964877,3,30
4,18,0.99848264,0.99184245,3,30
5,genome_wide,0.9762542,0.28711474,3,30
0,3,0.315755,0.90555286,3,100
1,4,0.9210012,0.9295529,3,100
2,6,0.99640113,0.95811105,3,100
3,10,0.99764967,0.9799664,3,100
4,18,0.99848264,0.99184245,3,100
5,genome_wide,0.20124692,0.9343919,3,100
0,3,0.9926122,0.78446645,100,10
1,4,0.9944381,0.91259956,100,10
2,6,0.99640405,0.95618415,100,10
3,10,0.99764967,0.97964877,100,10
4,18,0.99848264,0.99184245,100,10
5,genome_wide,0.9762556,0.2862335,100,10
0,3,0.9926118,0.7865247,30,30
1,4,0.9944381,0.91387373,30,30
2,6,0.99640405,0.95661384,30,30
3,10,0.99764967,0.97964877,30,30
4,18,0.99848264,0.99184245,30,30
5,genome_wide,0.9762542,0.28709996,30,30
0,3,0.9926118,0.78458333,100,30
1,4,0.9944381,0.91273665,100,30
2,6,0.99640405,0.9563007,100,30
3,10,0.99764967,0.97964877,100,30
4,18,0.99848264,0.99184245,100,30
5,genome_wide,0.97625554,0.28705433,100,30
0,3,0.9926279,0.7699166,1000,3
1,4,0.9944426,0.90718186,1000,3
2,6,0.99640405,0.9543116,1000,3
3,10,0.99764967,0.9793699,1000,3
4,18,0.99848264,0.99184245,1000,3
5,genome_wide,0.97626364,0.2860425,1000,3
0,3,0.9926122,0.7864077,30,10
1,4,0.9944381,0.9137358,30,10
2,6,0.99640405,0.95649725,30,10
3,10,0.99764967,0.97964877,30,10
4,18,0.99848264,0.99184245,30,10
5,genome_wide,0.9762543,0.28627902,30,10
0,3,0.99261546,0.7798757,300,3
1,4,0.9944381,0.9112487,300,3
2,6,0.99640405,0.95618415,300,3
3,10,0.99764967,0.97964877,300,3
4,18,0.99848264,0.99184245,300,3
5,genome_wide,0.9762572,0.28618458,300,3
0,3,0.9926122,0.7864077,30,3
1,4,0.9944381,0.9137358,30,3
2,6,0.99640405,0.95649725,30,3
3,10,0.99764967,0.97964877,30,3
4,18,0.99848264,0.99184245,30,3
5,genome_wide,0.9762543,0.28627902,30,3
0,3,0.99261546,0.7798757,300,10
1,4,0.9944381,0.9112487,300,10
2,6,0.99640405,0.95618415,300,10
3,10,0.99764967,0.97964877,300,10
4,18,0.99848264,0.99184245,300,10
5,genome_wide,0.9762572,0.28618458,300,10
0,3,0.9926279,0.7699166,1000,10
1,4,0.9944426,0.90718186,1000,10
2,6,0.99640405,0.9543116,1000,10
3,10,0.99764967,0.9793699,1000,10
4,18,0.99848264,0.99184245,1000,10
5,genome_wide,0.97626364,0.2860425,1000,10
0,3,0.99261504,0.77999246,300,30
1,4,0.9944381,0.91138464,300,30
2,6,0.99640405,0.9563007,300,30
3,10,0.99764967,0.97964877,300,30
4,18,0.99848264,0.99184245,300,30
5,genome_wide,0.97625715,0.28700528,300,30
0,3,0.9926275,0.770148,1000,30
1,4,0.9944426,0.907315,1000,30
2,6,0.99640405,0.9544274,1000,30
3,10,0.99764967,0.9793699,1000,30
4,18,0.99848264,0.99184245,1000,30
5,genome_wide,0.9762636,0.28686664,1000,30
0,3,0.9926122,0.78446645,100,3
1,4,0.9944381,0.91259956,100,3
2,6,0.99640405,0.95618415,100,3
3,10,0.99764967,0.97964877,100,3
4,18,0.99848264,0.99184245,100,3
5,genome_wide,0.9762556,0.2862335,100,3
