,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.9992513,0.9861942,1000,100
1,4,0.9994484,0.9914943,1000,100
2,6,0.99965435,0.9955468,1000,100
3,10,0.9997898,0.9967933,1000,100
4,18,0.99992514,0.9987402,1000,100
5,genome_wide,0.9907982,0.9282132,1000,100
0,3,0.9992513,0.98619527,300,100
1,4,0.9994484,0.9914943,300,100
2,6,0.99965435,0.9955495,300,100
3,10,0.9997898,0.9967933,300,100
4,18,0.99992514,0.9987402,300,100
5,genome_wide,0.9907982,0.9282132,300,100
0,3,0.9992513,0.98619527,3,3
1,4,0.9994484,0.9914943,3,3
2,6,0.99965435,0.9955495,3,3
3,10,0.9997898,0.9967933,3,3
4,18,0.99992514,0.9987402,3,3
5,genome_wide,0.9907982,0.9282132,3,3
0,3,0.9992513,0.98619527,3,10
1,4,0.9994484,0.9914943,3,10
2,6,0.99965435,0.9955495,3,10
3,10,0.9997898,0.9967933,3,10
4,18,0.99992514,0.9987402,3,10
5,genome_wide,0.9907982,0.9282132,3,10
0,3,0.9992513,0.98619527,100,100
1,4,0.9994484,0.9914943,100,100
2,6,0.99965435,0.9955495,100,100
3,10,0.9997898,0.9967933,100,100
4,18,0.99992514,0.9987402,100,100
5,genome_wide,0.9907982,0.9282132,100,100
0,3,0.9992513,0.98619527,30,100
1,4,0.9994484,0.9914943,30,100
2,6,0.99965435,0.9955495,30,100
3,10,0.9997898,0.9967933,30,100
4,18,0.99992514,0.9987402,30,100
5,genome_wide,0.9907982,0.9282132,30,100
0,3,0.9992513,0.98619527,3,30
1,4,0.9994484,0.9914943,3,30
2,6,0.99965435,0.9955495,3,30
3,10,0.9997898,0.9967933,3,30
4,18,0.99992514,0.9987402,3,30
5,genome_wide,0.9907982,0.9282132,3,30
0,3,0.9992513,0.98619527,3,100
1,4,0.9994484,0.9914943,3,100
2,6,0.99965435,0.9955495,3,100
3,10,0.9997898,0.9967933,3,100
4,18,0.99992514,0.9987402,3,100
5,genome_wide,0.9907982,0.9282132,3,100
0,3,0.9992513,0.98619527,100,10
1,4,0.9994484,0.9914943,100,10
2,6,0.99965435,0.9955495,100,10
3,10,0.9997898,0.9967933,100,10
4,18,0.99992514,0.9987402,100,10
5,genome_wide,0.9907982,0.9282132,100,10
0,3,0.9992513,0.98619527,30,30
1,4,0.9994484,0.9914943,30,30
2,6,0.99965435,0.9955495,30,30
3,10,0.9997898,0.9967933,30,30
4,18,0.99992514,0.9987402,30,30
5,genome_wide,0.9907982,0.9282132,30,30
0,3,0.9992513,0.98619527,100,30
1,4,0.9994484,0.9914943,100,30
2,6,0.99965435,0.9955495,100,30
3,10,0.9997898,0.9967933,100,30
4,18,0.99992514,0.9987402,100,30
5,genome_wide,0.9907982,0.9282132,100,30
0,3,0.9992513,0.9861942,1000,3
1,4,0.9994484,0.9914943,1000,3
2,6,0.99965435,0.9955468,1000,3
3,10,0.9997898,0.9967933,1000,3
4,18,0.99992514,0.9987402,1000,3
5,genome_wide,0.9907982,0.9282132,1000,3
0,3,0.9992513,0.98619527,30,10
1,4,0.9994484,0.9914943,30,10
2,6,0.99965435,0.9955495,30,10
3,10,0.9997898,0.9967933,30,10
4,18,0.99992514,0.9987402,30,10
5,genome_wide,0.9907982,0.9282132,30,10
0,3,0.9992513,0.98619527,300,3
1,4,0.9994484,0.9914943,300,3
2,6,0.99965435,0.9955495,300,3
3,10,0.9997898,0.9967933,300,3
4,18,0.99992514,0.9987402,300,3
5,genome_wide,0.9907982,0.9282132,300,3
0,3,0.9992513,0.98619527,30,3
1,4,0.9994484,0.9914943,30,3
2,6,0.99965435,0.9955495,30,3
3,10,0.9997898,0.9967933,30,3
4,18,0.99992514,0.9987402,30,3
5,genome_wide,0.9907982,0.9282132,30,3
0,3,0.9992513,0.98619527,300,10
1,4,0.9994484,0.9914943,300,10
2,6,0.99965435,0.9955495,300,10
3,10,0.9997898,0.9967933,300,10
4,18,0.99992514,0.9987402,300,10
5,genome_wide,0.9907982,0.9282132,300,10
0,3,0.9992513,0.9861942,1000,10
1,4,0.9994484,0.9914943,1000,10
2,6,0.99965435,0.9955468,1000,10
3,10,0.9997898,0.9967933,1000,10
4,18,0.99992514,0.9987402,1000,10
5,genome_wide,0.9907982,0.9282132,1000,10
0,3,0.9992513,0.98619527,300,30
1,4,0.9994484,0.9914943,300,30
2,6,0.99965435,0.9955495,300,30
3,10,0.9997898,0.9967933,300,30
4,18,0.99992514,0.9987402,300,30
5,genome_wide,0.9907982,0.9282132,300,30
0,3,0.9992513,0.9861942,1000,30
1,4,0.9994484,0.9914943,1000,30
2,6,0.99965435,0.9955468,1000,30
3,10,0.9997898,0.9967933,1000,30
4,18,0.99992514,0.9987402,1000,30
5,genome_wide,0.9907982,0.9282132,1000,30
0,3,0.9992513,0.98619527,100,3
1,4,0.9994484,0.9914943,100,3
2,6,0.99965435,0.9955495,100,3
3,10,0.9997898,0.9967933,100,3
4,18,0.99992514,0.9987402,100,3
5,genome_wide,0.9907982,0.9282132,100,3
