,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.25929806,0.9088925,3,100
1,4,0.9144859,0.9295507,3,100
2,6,0.996162,0.95860994,3,100
3,10,0.99729514,0.9789306,3,100
4,18,0.99878824,0.99016714,3,100
5,genome_wide,0.18513723,0.9372684,3,100
0,3,0.9920367,0.78560716,100,10
1,4,0.99434733,0.9113559,100,10
2,6,0.996162,0.95633453,100,10
3,10,0.99729896,0.9775491,100,10
4,18,0.99878824,0.9891227,100,10
5,genome_wide,0.97712296,0.28962672,100,10
0,3,0.9920326,0.7887776,30,30
1,4,0.9943426,0.912461,30,30
2,6,0.996162,0.95643514,30,30
3,10,0.99729896,0.9775491,30,30
4,18,0.99878824,0.9891227,30,30
5,genome_wide,0.9771204,0.28975123,30,30
0,3,0.9920367,0.7870597,100,30
1,4,0.9943467,0.9115994,100,30
2,6,0.996162,0.95643514,100,30
3,10,0.99729896,0.9775491,100,30
4,18,0.99878824,0.9891227,100,30
5,genome_wide,0.9771229,0.28973222,100,30
0,3,0.9920552,0.7723807,1000,3
1,4,0.99434733,0.9043659,1000,3
2,6,0.9961633,0.95562464,1000,3
3,10,0.99729896,0.976912,1000,3
4,18,0.9987907,0.9889483,1000,3
5,genome_wide,0.9771356,0.28938976,1000,3
0,3,0.9920326,0.78741264,30,10
1,4,0.9943433,0.912461,30,10
2,6,0.996162,0.95633453,30,10
3,10,0.99729896,0.9775491,30,10
4,18,0.99878824,0.9891227,30,10
5,genome_wide,0.97712046,0.28964564,30,10
0,3,0.9920504,0.7817091,300,3
1,4,0.99434733,0.9090785,300,3
2,6,0.9961633,0.9560816,300,3
3,10,0.99729896,0.9772917,300,3
4,18,0.99878824,0.9891227,300,3
5,genome_wide,0.9771275,0.28956178,300,3
0,3,0.9920326,0.78741264,30,3
1,4,0.9943433,0.912461,30,3
2,6,0.996162,0.95633453,30,3
3,10,0.99729896,0.9775491,30,3
4,18,0.99878824,0.9891227,30,3
5,genome_wide,0.97712046,0.28964564,30,3
0,3,0.9920504,0.7817091,300,10
1,4,0.99434733,0.9090785,300,10
2,6,0.9961633,0.9560816,300,10
3,10,0.99729896,0.9772917,300,10
4,18,0.99878824,0.9891227,300,10
5,genome_wide,0.9771275,0.28956178,300,10
0,3,0.9920552,0.7723807,1000,10
1,4,0.99434733,0.9043659,1000,10
2,6,0.9961633,0.95562464,1000,10
3,10,0.99729896,0.976912,1000,10
4,18,0.9987907,0.9889483,1000,10
5,genome_wide,0.9771356,0.28938976,1000,10
0,3,0.9920504,0.7835196,300,30
1,4,0.9943467,0.9093206,300,30
2,6,0.9961633,0.9561822,300,30
3,10,0.99729896,0.9772917,300,30
4,18,0.99878824,0.9891227,300,30
5,genome_wide,0.97712743,0.2896684,300,30
0,3,0.9920552,0.77438766,1000,30
1,4,0.9943467,0.90460426,1000,30
2,6,0.9961633,0.95572525,1000,30
3,10,0.99729896,0.976912,1000,30
4,18,0.9987907,0.9889483,1000,30
5,genome_wide,0.97713554,0.28950638,1000,30
0,3,0.9920367,0.78560716,100,3
1,4,0.99434733,0.9113559,100,3
2,6,0.996162,0.95633453,100,3
3,10,0.99729896,0.9775491,100,3
4,18,0.99878824,0.9891227,100,3
5,genome_wide,0.97712296,0.28962672,100,3
0,3,0.25988263,0.9088925,1000,100
1,4,0.9144859,0.92954123,1000,100
2,6,0.9961633,0.9584281,1000,100
3,10,0.99729514,0.9786942,1000,100
4,18,0.9987907,0.98999053,1000,100
5,genome_wide,0.18517311,0.9372132,1000,100
0,3,0.25988263,0.9088925,300,100
1,4,0.9144859,0.92954123,300,100
2,6,0.9961633,0.9586047,300,100
3,10,0.99729514,0.97866523,300,100
4,18,0.99878824,0.99016714,300,100
5,genome_wide,0.18517311,0.93725646,300,100
0,3,0.9920326,0.7889554,3,3
1,4,0.9943433,0.9133139,3,3
2,6,0.996162,0.95633453,3,3
3,10,0.99729896,0.9775491,3,3
4,18,0.99878824,0.9891227,3,3
5,genome_wide,0.97711974,0.28965676,3,3
0,3,0.9920326,0.7889554,3,10
1,4,0.9943433,0.9133139,3,10
2,6,0.996162,0.95633453,3,10
3,10,0.99729896,0.9775491,3,10
4,18,0.99878824,0.9891227,3,10
5,genome_wide,0.97711974,0.28965676,3,10
0,3,0.25929806,0.9088925,100,100
1,4,0.9144859,0.9295507,100,100
2,6,0.996162,0.95860994,100,100
3,10,0.99729514,0.9789306,100,100
4,18,0.99878824,0.99016714,100,100
5,genome_wide,0.18513723,0.9372684,100,100
0,3,0.25929806,0.9088925,30,100
1,4,0.9144859,0.9295507,30,100
2,6,0.996162,0.95860994,30,100
3,10,0.99729514,0.9789306,30,100
4,18,0.99878824,0.99016714,30,100
5,genome_wide,0.18513723,0.9372684,30,100
0,3,0.9920326,0.7903263,3,30
1,4,0.9943426,0.9133139,3,30
2,6,0.996162,0.95643514,3,30
3,10,0.99729896,0.9775491,3,30
4,18,0.99878824,0.9891227,3,30
5,genome_wide,0.9771197,0.2897623,3,30
