,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.9989882,0.9851776,1000,30
1,4,0.9994511,0.9906785,1000,30
2,6,0.9996742,0.99473333,1000,30
3,10,0.99981356,0.99703056,1000,30
4,18,0.9999038,0.9985048,1000,30
5,genome_wide,0.989689,0.92727315,1000,30
0,3,0.9989882,0.9851776,1000,80
1,4,0.9994511,0.9906785,1000,80
2,6,0.9996742,0.99473333,1000,80
3,10,0.99981356,0.99703056,1000,80
4,18,0.9999038,0.9985048,1000,80
5,genome_wide,0.989689,0.92727315,1000,80
0,3,0.9989882,0.9851776,1000,70
1,4,0.9994511,0.9906785,1000,70
2,6,0.9996742,0.99473333,1000,70
3,10,0.99981356,0.99703056,1000,70
4,18,0.9999038,0.9985048,1000,70
5,genome_wide,0.989689,0.92727315,1000,70
0,3,0.9989882,0.9851776,1000,50
1,4,0.9994511,0.9906785,1000,50
2,6,0.9996742,0.99473333,1000,50
3,10,0.99981356,0.99703056,1000,50
4,18,0.9999038,0.9985048,1000,50
5,genome_wide,0.989689,0.92727315,1000,50
0,3,0.9989882,0.9851776,1000,60
1,4,0.9994511,0.9906785,1000,60
2,6,0.9996742,0.99473333,1000,60
3,10,0.99981356,0.99703056,1000,60
4,18,0.9999038,0.9985048,1000,60
5,genome_wide,0.989689,0.92727315,1000,60
0,3,0.9989882,0.9851776,1000,90
1,4,0.9994511,0.9906785,1000,90
2,6,0.9996742,0.99473333,1000,90
3,10,0.99981356,0.99703056,1000,90
4,18,0.9999038,0.9985048,1000,90
5,genome_wide,0.989689,0.92727315,1000,90
0,3,0.9989882,0.9851776,1000,40
1,4,0.9994511,0.9906785,1000,40
2,6,0.9996742,0.99473333,1000,40
3,10,0.99981356,0.99703056,1000,40
4,18,0.9999038,0.9985048,1000,40
5,genome_wide,0.989689,0.92727315,1000,40
0,3,0.9989882,0.9851776,1000,100
1,4,0.9994511,0.9906785,1000,100
2,6,0.9996742,0.99473333,1000,100
3,10,0.99981356,0.99703056,1000,100
4,18,0.9999038,0.9985048,1000,100
5,genome_wide,0.989689,0.92727315,1000,100
