,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.99961174,0.94990176,template1_mac0,100
1,4,0.99966544,0.9712832,template1_mac0,100
2,6,0.99981046,0.98281825,template1_mac0,100
3,10,0.9998906,0.9912764,template1_mac0,100
4,18,0.9999631,0.99722993,template1_mac0,100
5,genome_wide,0.9988012,0.74359316,template1_mac0,100
0,3,0.99950105,0.95175624,template1_mac20,30
1,4,0.99966794,0.97185296,template1_mac20,30
2,6,0.9997539,0.98280567,template1_mac20,30
3,10,0.99985296,0.99166244,template1_mac20,30
4,18,0.9999394,0.99709266,template1_mac20,30
5,genome_wide,0.99910665,0.74960417,template1_mac20,30
0,3,0.9993955,0.94900846,template1_mac20,300
1,4,0.9996048,0.97364575,template1_mac20,300
2,6,0.9997116,0.9843456,template1_mac20,300
3,10,0.9998267,0.9917416,template1_mac20,300
4,18,0.999933,0.9954854,template1_mac20,300
5,genome_wide,0.9988914,0.7519013,template1_mac20,300
0,3,0.9998268,0.9413516,template1_mac0,3
1,4,0.99989223,0.9643308,template1_mac0,3
2,6,0.9999179,0.9784241,template1_mac0,3
3,10,0.9999494,0.98924935,template1_mac0,3
4,18,0.9999863,0.9945816,template1_mac0,3
5,genome_wide,0.99976075,0.6907099,template1_mac0,3
0,3,0.9997327,0.95042413,template1_mac0,10
1,4,0.99981904,0.97043234,template1_mac0,10
2,6,0.9998609,0.98185426,template1_mac0,10
3,10,0.9999167,0.99103385,template1_mac0,10
4,18,0.99997926,0.9957035,template1_mac0,10
5,genome_wide,0.999565,0.73759514,template1_mac0,10
0,3,0.9996068,0.9432279,template0_mac20,30
1,4,0.99973273,0.9668062,template0_mac20,30
2,6,0.9998031,0.9803083,template0_mac20,30
3,10,0.9998765,0.99023974,template0_mac20,30
4,18,0.99995255,0.995968,template0_mac20,30
5,genome_wide,0.99937063,0.7120948,template0_mac20,30
0,3,0.9995282,0.92895967,template0_mac20,300
1,4,0.99968517,0.964677,template0_mac20,300
2,6,0.99977124,0.97867996,template0_mac20,300
3,10,0.9998589,0.9889453,template0_mac20,300
4,18,0.99995214,0.99329406,template0_mac20,300
5,genome_wide,0.9991871,0.6572176,template0_mac20,300
0,3,0.9995822,0.9554966,template1_mac20,3
1,4,0.9997033,0.97388643,template1_mac20,3
2,6,0.999792,0.98384446,template1_mac20,3
3,10,0.9998735,0.99193406,template1_mac20,3
4,18,0.9999563,0.9970576,template1_mac20,3
5,genome_wide,0.99932945,0.7640791,template1_mac20,3
0,3,0.99958754,0.9310226,template0_mac20,100
1,4,0.99971944,0.96165663,template0_mac20,100
2,6,0.9998095,0.9771027,template0_mac20,100
3,10,0.9998724,0.9887854,template0_mac20,100
4,18,0.9999511,0.9948622,template0_mac20,100
5,genome_wide,0.99935484,0.6527926,template0_mac20,100
0,3,0.9995136,0.9543549,template1_mac20,10
1,4,0.9996678,0.97363806,template1_mac20,10
2,6,0.9997611,0.98402,template1_mac20,10
3,10,0.9998489,0.9922551,template1_mac20,10
4,18,0.99994844,0.9966908,template1_mac20,10
5,genome_wide,0.9992533,0.7651763,template1_mac20,10
0,3,0.99968284,0.9508608,template0_mac20,3
1,4,0.99977285,0.9707325,template0_mac20,3
2,6,0.9998415,0.9821095,template0_mac20,3
3,10,0.99989694,0.9911278,template0_mac20,3
4,18,0.99996537,0.9962381,template0_mac20,3
5,genome_wide,0.99949676,0.7398555,template0_mac20,3
0,3,0.99945253,0.9487549,template1_mac20,100
1,4,0.999635,0.9718419,template1_mac20,100
2,6,0.99974465,0.98239845,template1_mac20,100
3,10,0.99983776,0.99148035,template1_mac20,100
4,18,0.99993837,0.9966052,template1_mac20,100
5,genome_wide,0.99905866,0.74084723,template1_mac20,100
0,3,0.9996515,0.9515482,template1_mac0,30
1,4,0.99976754,0.9707392,template1_mac0,30
2,6,0.99982625,0.9824,template1_mac0,30
3,10,0.9998904,0.991252,template1_mac0,30
4,18,0.9999731,0.99665606,template1_mac0,30
5,genome_wide,0.9994811,0.7460793,template1_mac0,30
0,3,0.999613,0.9511188,template0_mac20,10
1,4,0.9997328,0.971036,template0_mac20,10
2,6,0.99980605,0.9827391,template0_mac20,10
3,10,0.9998777,0.9910719,template0_mac20,10
4,18,0.99996126,0.99677604,template0_mac20,10
5,genome_wide,0.9994286,0.74504584,template0_mac20,10
0,3,0.9990414,0.9557526,template1_mac0,300
1,4,0.99960774,0.97636294,template1_mac0,300
2,6,0.99979126,0.9856245,template1_mac0,300
3,10,0.9998794,0.99243027,template1_mac0,300
4,18,0.9999582,0.9964495,template1_mac0,300
5,genome_wide,0.99635863,0.7806019,template1_mac0,300
