,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.99691576,0.0007120811,template1_mac20,10
1,4,0.9977584,0.0013626955,template1_mac20,10
2,6,0.99828756,0.0032171542,template1_mac20,10
3,10,0.9988462,0.018366592,template1_mac20,10
4,18,0.999167,0.67031974,template1_mac20,10
5,genome_wide,0.995563,0.0009447752,template1_mac20,10
0,3,0.0060590114,,template1_mac0,300
1,4,0.3181116,0.8860143,template1_mac0,300
2,6,0.99837,0.90870506,template1_mac0,300
3,10,0.9996871,0.94402903,template1_mac0,300
4,18,0.99976313,0.9610346,template1_mac0,300
5,genome_wide,0.083539866,0.91177493,template1_mac0,300
0,3,0.40596923,0.77089596,template1_mac20,100
1,4,0.9512607,0.85135794,template1_mac20,100
2,6,0.99753124,0.9148544,template1_mac20,100
3,10,0.9984692,0.9452061,template1_mac20,100
4,18,0.9990508,0.96868014,template1_mac20,100
5,genome_wide,0.22983468,0.85803455,template1_mac20,100
0,3,0.9986184,0.00017545225,template0_mac20,10
1,4,0.99902654,0.0003039802,template0_mac20,10
2,6,0.9992704,0.00048521857,template0_mac20,10
3,10,0.9991194,0.000826801,template0_mac20,10
4,18,0.9994157,0.002223109,template0_mac20,10
5,genome_wide,0.9983274,0.00037362747,template0_mac20,10
0,3,0.99944496,0.00079146615,template1_mac0,30
1,4,0.9995144,0.0014191396,template1_mac0,30
2,6,0.9996294,0.0033349118,template1_mac0,30
3,10,0.99973106,0.017765472,template1_mac0,30
4,18,0.9998084,0.6137093,template1_mac0,30
5,genome_wide,0.99911106,0.0010355073,template1_mac0,30
0,3,0.9997692,7.463493e-05,template1_mac0,3
1,4,0.99976,0.0001226531,template1_mac0,3
2,6,0.9998077,0.00019900214,template1_mac0,3
3,10,0.9998021,0.00026891235,template1_mac0,3
4,18,0.9998159,0.00035487156,template1_mac0,3
5,genome_wide,0.99975187,0.00024330123,template1_mac0,3
0,3,0.5847191,0.3306903,template0_mac20,100
1,4,0.9735994,0.5237193,template0_mac20,100
2,6,0.9986316,0.83768696,template0_mac20,100
3,10,0.998972,0.91555434,template0_mac20,100
4,18,0.9993065,0.9514322,template0_mac20,100
5,genome_wide,0.31233013,0.5360875,template0_mac20,100
0,3,0.9951516,0.036034457,template1_mac20,30
1,4,0.99653995,0.05125831,template1_mac20,30
2,6,0.99757445,0.2697856,template1_mac20,30
3,10,0.9985401,0.8977793,template1_mac20,30
4,18,0.9990191,0.9629943,template1_mac20,30
5,genome_wide,0.9919579,0.02555023,template1_mac20,30
0,3,0.0,,template0_mac20,300
1,4,0.0,,template0_mac20,300
2,6,0.004132231,,template0_mac20,300
3,10,0.64938056,0.9318025,template0_mac20,300
4,18,0.9993065,0.9577,template0_mac20,300
5,genome_wide,0.0094895605,0.93872803,template0_mac20,300
0,3,0.9982166,0.00015618846,template1_mac20,3
1,4,0.9987371,0.00028903747,template1_mac20,3
2,6,0.9988945,0.00051920617,template1_mac20,3
3,10,0.99912345,0.001011284,template1_mac20,3
4,18,0.99937487,0.003829173,template1_mac20,3
5,genome_wide,0.99772114,0.00034445533,template1_mac20,3
0,3,0.99790686,0.003055742,template0_mac20,30
1,4,0.9983828,0.0037069786,template0_mac20,30
2,6,0.9987411,0.008214491,template0_mac20,30
3,10,0.9990373,0.043990634,template0_mac20,30
4,18,0.9993065,0.8063294,template0_mac20,30
5,genome_wide,0.99678767,0.0031307403,template0_mac20,30
0,3,0.9996709,0.0001142155,template1_mac0,10
1,4,0.9997435,0.00021287173,template1_mac0,10
2,6,0.99977016,0.00036682925,template1_mac0,10
3,10,0.99977183,0.0006101113,template1_mac0,10
4,18,0.9998159,0.0013089948,template1_mac0,10
5,genome_wide,0.9996583,0.00030109796,template1_mac0,10
0,3,0.9989993,9.428011e-05,template0_mac20,3
1,4,0.99922496,0.00015551646,template0_mac20,3
2,6,0.99929684,0.00022863408,template0_mac20,3
3,10,0.9992903,0.00032329108,template0_mac20,3
4,18,0.9994887,0.00045174977,template0_mac20,3
5,genome_wide,0.9988887,0.0002596691,template0_mac20,3
0,3,0.0,,template1_mac20,300
1,4,0.0,,template1_mac20,300
2,6,0.0032989546,,template1_mac20,300
3,10,0.6050854,0.95810974,template1_mac20,300
4,18,0.9990191,0.9729177,template1_mac20,300
5,genome_wide,0.008969309,0.96185523,template1_mac20,300
0,3,0.99886,0.2608799,template1_mac0,100
1,4,0.9991977,0.41953504,template1_mac0,100
2,6,0.9993892,0.6376146,template1_mac0,100
3,10,0.99969643,0.93528426,template1_mac0,100
4,18,0.99976313,0.96848595,template1_mac0,100
5,genome_wide,0.9952408,0.042930175,template1_mac0,100
