,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.9994648,0.9482541,template1_mac20,80
1,4,0.9996472,0.9715224,template1_mac20,80
2,6,0.9997509,0.9824258,template1_mac20,80
3,10,0.9998426,0.9912848,template1_mac20,80
4,18,0.99993193,0.9972838,template1_mac20,80
5,genome_wide,0.9990934,0.73919755,template1_mac20,80
0,3,0.99961174,0.94990176,template1_mac0,100
1,4,0.99966544,0.9712832,template1_mac0,100
2,6,0.99981046,0.98281825,template1_mac0,100
3,10,0.9998906,0.9912764,template1_mac0,100
4,18,0.9999631,0.99722993,template1_mac0,100
5,genome_wide,0.9988012,0.74359316,template1_mac0,100
0,3,0.9995202,0.951876,template1_mac0,150
1,4,0.99972725,0.97249055,template1_mac0,150
2,6,0.9998095,0.9828833,template1_mac0,150
3,10,0.99988353,0.99104995,template1_mac0,150
4,18,0.9999636,0.9966625,template1_mac0,150
5,genome_wide,0.9982933,0.749774,template1_mac0,150
0,3,0.9993955,0.94900846,template1_mac20,300
1,4,0.9996048,0.97364575,template1_mac20,300
2,6,0.9997116,0.9843456,template1_mac20,300
3,10,0.9998267,0.9917416,template1_mac20,300
4,18,0.999933,0.9954854,template1_mac20,300
5,genome_wide,0.9988914,0.7519013,template1_mac20,300
0,3,0.9995944,0.93229324,template0_mac20,80
1,4,0.99972564,0.9627204,template0_mac20,80
2,6,0.9998096,0.97737044,template0_mac20,80
3,10,0.9998732,0.98853093,template0_mac20,80
4,18,0.99994844,0.99511546,template0_mac20,80
5,genome_wide,0.99941665,0.6605317,template0_mac20,80
0,3,0.99916995,0.9536517,template1_mac0,250
1,4,0.99967295,0.97512424,template1_mac0,250
2,6,0.9997972,0.9842485,template1_mac0,250
3,10,0.9998759,0.9922969,template1_mac0,250
4,18,0.9999633,0.9971572,template1_mac0,250
5,genome_wide,0.99738413,0.77104837,template1_mac0,250
0,3,0.99924296,0.95284396,template1_mac0,200
1,4,0.99970806,0.9735287,template1_mac0,200
2,6,0.99980754,0.9833425,template1_mac0,200
3,10,0.999878,0.99233705,template1_mac0,200
4,18,0.99996173,0.9975004,template1_mac0,200
5,genome_wide,0.99769557,0.76045537,template1_mac0,200
0,3,0.9995282,0.92895967,template0_mac20,300
1,4,0.99968517,0.964677,template0_mac20,300
2,6,0.99977124,0.97867996,template0_mac20,300
3,10,0.9998589,0.9889453,template0_mac20,300
4,18,0.99995214,0.99329406,template0_mac20,300
5,genome_wide,0.9991871,0.6572176,template0_mac20,300
0,3,0.999631,0.9498852,template1_mac0,50
1,4,0.9997504,0.9710344,template1_mac0,50
2,6,0.9998115,0.9819841,template1_mac0,50
3,10,0.99989134,0.9914003,template1_mac0,50
4,18,0.9999675,0.99553794,template1_mac0,50
5,genome_wide,0.99942434,0.7417141,template1_mac0,50
0,3,0.9996515,0.9515482,template1_mac0,30
1,4,0.99976754,0.9707392,template1_mac0,30
2,6,0.99982625,0.9824,template1_mac0,30
3,10,0.9998904,0.991252,template1_mac0,30
4,18,0.9999731,0.99665606,template1_mac0,30
