,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lod
0,3,0.99535054,0.8598546,default,4.0
1,4,0.99649847,0.9231791,default,4.0
2,6,0.99762213,0.95621216,default,4.0
3,10,0.99847263,0.976459,default,4.0
4,18,0.99908227,0.9900086,default,4.0
5,genome_wide,0.9815119,0.58591676,default,4.0
0,3,0.99535054,0.8576873,default,1.1
1,4,0.99649847,0.9231791,default,1.1
2,6,0.99762213,0.95621216,default,1.1
3,10,0.99847263,0.976459,default,1.1
4,18,0.99908227,0.9900086,default,1.1
5,genome_wide,0.989748,0.45160705,default,1.1
0,3,0.9958676,0.8547032,minmac2.0,3.0
1,4,0.99764365,0.9195613,minmac2.0,3.0
2,6,0.9986944,0.9533158,minmac2.0,3.0
3,10,0.9992835,0.9747021,minmac2.0,3.0
4,18,0.9995402,0.98932886,minmac2.0,3.0
5,genome_wide,0.9908866,0.50775623,minmac2.0,3.0
0,3,0.9958676,0.8547032,minmac2.0,1.1
1,4,0.99764365,0.9195613,minmac2.0,1.1
2,6,0.9986944,0.9533158,minmac2.0,1.1
3,10,0.9992835,0.9747021,minmac2.0,1.1
4,18,0.9995402,0.98932886,minmac2.0,1.1
5,genome_wide,0.9916775,0.4494593,minmac2.0,1.1
0,3,0.99535054,0.8576873,window20.0,2.0
1,4,0.99649847,0.9231791,window20.0,2.0
2,6,0.99762213,0.95621216,window20.0,2.0
3,10,0.99847263,0.976459,window20.0,2.0
4,18,0.99908227,0.9900086,window20.0,2.0
5,genome_wide,0.98965186,0.4665995,window20.0,2.0
0,3,0.99535054,0.8578558,window20.0,3.0
1,4,0.99649847,0.9231791,window20.0,3.0
2,6,0.99762213,0.95621216,window20.0,3.0
3,10,0.99847263,0.976459,window20.0,3.0
4,18,0.99908227,0.9900086,window20.0,3.0
5,genome_wide,0.98856175,0.5203168,window20.0,3.0
0,3,0.907647,0.8822281,scale2.2,8.0
1,4,0.9899921,0.92374945,scale2.2,8.0
2,6,0.99762213,0.95639485,scale2.2,8.0
3,10,0.99847263,0.976459,scale2.2,8.0
4,18,0.99908227,0.9900086,scale2.2,8.0
5,genome_wide,0.6555153,0.84950495,scale2.2,8.0
0,3,0.99535054,0.8578558,default,3.0
1,4,0.99649847,0.9231791,default,3.0
2,6,0.99762213,0.95621216,default,3.0
3,10,0.99847263,0.976459,default,3.0
4,18,0.99908227,0.9900086,default,3.0
5,genome_wide,0.98857486,0.5204216,default,3.0
0,3,0.99535054,0.8576873,default,2.0
1,4,0.99649847,0.9231791,default,2.0
2,6,0.99762213,0.95621216,default,2.0
3,10,0.99847263,0.976459,default,2.0
4,18,0.99908227,0.9900086,default,2.0
5,genome_wide,0.98964703,0.46648717,default,2.0
0,3,0.98299086,0.7808884,minmac200.0,1.1
1,4,0.9873658,0.91349465,minmac200.0,1.1
2,6,0.99157214,0.9543534,minmac200.0,1.1
3,10,0.9946281,0.9760895,minmac200.0,1.1
4,18,0.99711066,0.9895896,minmac200.0,1.1
5,genome_wide,0.9567166,0.27116907,minmac200.0,1.1
0,3,0.99569917,0.8557876,minmac2.0,4.0
1,4,0.99764365,0.9195613,minmac2.0,4.0
2,6,0.9986944,0.9533158,minmac2.0,4.0
3,10,0.9992835,0.9747021,minmac2.0,4.0
4,18,0.9995402,0.98932886,minmac2.0,4.0
5,genome_wide,0.98582965,0.5660634,minmac2.0,4.0
0,3,0.99535054,0.8576873,window20.0,1.1
1,4,0.99649847,0.9231791,window20.0,1.1
2,6,0.99762213,0.95621216,window20.0,1.1
3,10,0.99847263,0.976459,window20.0,1.1
4,18,0.99908227,0.9900086,window20.0,1.1
5,genome_wide,0.9897611,0.45167136,window20.0,1.1
0,3,0.99535054,0.8598546,window20.0,4.0
1,4,0.99649847,0.9231791,window20.0,4.0
2,6,0.99762213,0.95621216,window20.0,4.0
3,10,0.99847263,0.976459,window20.0,4.0
4,18,0.99908227,0.9900086,window20.0,4.0
5,genome_wide,0.98150736,0.5858608,window20.0,4.0
0,3,0.9810197,0.80711895,minmac200.0,4.0
1,4,0.9873658,0.91349465,minmac200.0,4.0
2,6,0.99157214,0.9543534,minmac200.0,4.0
3,10,0.9946281,0.9760895,minmac200.0,4.0
4,18,0.99711066,0.9895896,minmac200.0,4.0
5,genome_wide,0.91293335,0.58357763,minmac200.0,4.0
0,3,0.98299086,0.7808884,minmac200.0,2.0
1,4,0.9873658,0.91349465,minmac200.0,2.0
2,6,0.99157214,0.9543534,minmac200.0,2.0
3,10,0.9946281,0.9760895,minmac200.0,2.0
4,18,0.99711066,0.9895896,minmac200.0,2.0
5,genome_wide,0.956251,0.3111184,minmac200.0,2.0
0,3,0.98299086,0.78709805,minmac200.0,3.0
1,4,0.9873658,0.91349465,minmac200.0,3.0
2,6,0.99157214,0.9543534,minmac200.0,3.0
3,10,0.9946281,0.9760895,minmac200.0,3.0
4,18,0.99711066,0.9895896,minmac200.0,3.0
5,genome_wide,0.94905764,0.43209836,minmac200.0,3.0
0,3,0.67812866,0.8846912,minmac200.0,8.0
1,4,0.96744037,0.9183929,minmac200.0,8.0
2,6,0.99157214,0.9543534,minmac200.0,8.0
3,10,0.9946281,0.9760895,minmac200.0,8.0
4,18,0.99711066,0.9895896,minmac200.0,8.0
5,genome_wide,0.4613141,0.8997486,minmac200.0,8.0
0,3,0.9945705,0.8598119,scale2.2,4.0
1,4,0.9953855,0.9231633,scale2.2,4.0
2,6,0.99762213,0.95621216,scale2.2,4.0
3,10,0.99847263,0.976459,scale2.2,4.0
4,18,0.99908227,0.9900086,scale2.2,4.0
5,genome_wide,0.97706777,0.59373915,scale2.2,4.0
0,3,0.99535054,0.8576873,scale2.2,1.1
1,4,0.99649847,0.9231791,scale2.2,1.1
2,6,0.99762213,0.95621216,scale2.2,1.1
3,10,0.99847263,0.976459,scale2.2,1.1
4,18,0.99908227,0.9900086,scale2.2,1.1
5,genome_wide,0.989748,0.45160705,scale2.2,1.1
0,3,0.9339102,0.87895876,default,8.0
1,4,0.9955526,0.92361367,default,8.0
2,6,0.99762213,0.95621216,default,8.0
3,10,0.99847263,0.976459,default,8.0
4,18,0.99908227,0.9900086,default,8.0
5,genome_wide,0.7061437,0.82457006,default,8.0
0,3,0.99535054,0.8576873,scale2.2,2.0
1,4,0.99649847,0.9231791,scale2.2,2.0
2,6,0.99762213,0.95621216,scale2.2,2.0
3,10,0.99847263,0.976459,scale2.2,2.0
4,18,0.99908227,0.9900086,scale2.2,2.0
5,genome_wide,0.98963875,0.4677569,scale2.2,2.0
0,3,0.9341908,0.8790557,window20.0,8.0
1,4,0.9955526,0.9236201,window20.0,8.0
2,6,0.99762213,0.95621216,window20.0,8.0
3,10,0.99847263,0.976459,window20.0,8.0
4,18,0.99908227,0.9900086,window20.0,8.0
5,genome_wide,0.7064194,0.824794,window20.0,8.0
0,3,0.9947919,0.8578932,scale2.2,3.0
1,4,0.99649847,0.9231791,scale2.2,3.0
2,6,0.99762213,0.95621216,scale2.2,3.0
3,10,0.99847263,0.976459,scale2.2,3.0
4,18,0.99908227,0.9900086,scale2.2,3.0
5,genome_wide,0.9877206,0.52281064,scale2.2,3.0
0,3,0.9543473,0.8717804,minmac2.0,8.0
1,4,0.9960721,0.9199067,minmac2.0,8.0
2,6,0.99814403,0.9533158,minmac2.0,8.0
3,10,0.9991031,0.9747021,minmac2.0,8.0
4,18,0.9995402,0.98932886,minmac2.0,8.0
5,genome_wide,0.7579598,0.7918143,minmac2.0,8.0
