,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lod
0,3,0.9923383,0.81420654,scale2.2,1.1
1,4,0.994354,0.9232454,scale2.2,1.1
2,6,0.99641013,0.95925665,scale2.2,1.1
3,10,0.9981549,0.97660464,scale2.2,1.1
4,18,0.9984997,0.99066114,scale2.2,1.1
5,genome_wide,0.9748059,0.28631678,scale2.2,1.1
0,3,0.9923383,0.82027787,scale2.2,4.0
1,4,0.994354,0.9232454,scale2.2,4.0
2,6,0.99641013,0.95925665,scale2.2,4.0
3,10,0.9981549,0.97660464,scale2.2,4.0
4,18,0.9984997,0.99066114,scale2.2,4.0
5,genome_wide,0.9381722,0.465252,scale2.2,4.0
0,3,0.8461097,0.8774474,default,8.0
1,4,0.9913147,0.92554545,default,8.0
2,6,0.99641013,0.95925665,default,8.0
3,10,0.9981549,0.97660464,default,8.0
4,18,0.9984997,0.99066114,default,8.0
5,genome_wide,0.47222757,0.8398881,default,8.0
0,3,0.9933065,0.8131684,minmac2.0,4.0
1,4,0.9956169,0.9186493,minmac2.0,4.0
2,6,0.99776757,0.9558662,minmac2.0,4.0
3,10,0.9983436,0.97527623,minmac2.0,4.0
4,18,0.999022,0.9900039,minmac2.0,4.0
5,genome_wide,0.95916325,0.41098008,minmac2.0,4.0
0,3,0.98514014,0.78197396,minmac200.0,1.1
1,4,0.988765,0.9219642,minmac200.0,1.1
2,6,0.99318635,0.9603264,minmac200.0,1.1
3,10,0.99643576,0.97814286,minmac200.0,1.1
4,18,0.99752504,0.9918819,minmac200.0,1.1
5,genome_wide,0.9458695,0.24575348,minmac200.0,1.1
0,3,0.9933065,0.8083262,minmac2.0,3.0
1,4,0.9957407,0.9186493,minmac2.0,3.0
2,6,0.99776757,0.9558662,minmac2.0,3.0
3,10,0.9983436,0.97527623,minmac2.0,3.0
4,18,0.999022,0.9900039,minmac2.0,3.0
5,genome_wide,0.9786025,0.31823787,minmac2.0,3.0
0,3,0.9923383,0.81420654,scale2.2,2.0
1,4,0.994354,0.9232454,scale2.2,2.0
2,6,0.99641013,0.95925665,scale2.2,2.0
3,10,0.9981549,0.97660464,scale2.2,2.0
4,18,0.9984997,0.99066114,scale2.2,2.0
5,genome_wide,0.9747395,0.29334542,scale2.2,2.0
0,3,0.9923383,0.81470704,scale2.2,3.0
1,4,0.994354,0.9232454,scale2.2,3.0
2,6,0.99641013,0.95925665,scale2.2,3.0
3,10,0.9981549,0.97660464,scale2.2,3.0
4,18,0.9984997,0.99066114,scale2.2,3.0
5,genome_wide,0.97124815,0.34844977,scale2.2,3.0
0,3,0.84573776,0.87762016,window20.0,8.0
1,4,0.9913147,0.9257958,window20.0,8.0
2,6,0.99641013,0.95925665,window20.0,8.0
3,10,0.9981549,0.97660464,window20.0,8.0
4,18,0.9984997,0.99066114,window20.0,8.0
5,genome_wide,0.47254404,0.839431,window20.0,8.0
0,3,0.9934331,0.8083262,minmac2.0,1.1
1,4,0.9957407,0.9186493,minmac2.0,1.1
2,6,0.99776757,0.9558662,minmac2.0,1.1
3,10,0.9983436,0.97527623,minmac2.0,1.1
4,18,0.999022,0.9900039,minmac2.0,1.1
5,genome_wide,0.98061365,0.2697592,minmac2.0,1.1
0,3,0.9923383,0.81420654,default,1.1
1,4,0.994354,0.9232454,default,1.1
2,6,0.99641013,0.95925665,default,1.1
3,10,0.9981549,0.97660464,default,1.1
4,18,0.9984997,0.99066114,default,1.1
5,genome_wide,0.9748059,0.28631678,default,1.1
0,3,0.9923383,0.81954694,default,4.0
1,4,0.994354,0.9232454,default,4.0
2,6,0.99641013,0.95925665,default,4.0
3,10,0.9981549,0.97660464,default,4.0
4,18,0.9984997,0.99066114,default,4.0
5,genome_wide,0.95004517,0.43604478,default,4.0
0,3,0.9923383,0.81420654,window20.0,2.0
1,4,0.994354,0.9232454,window20.0,2.0
2,6,0.99641013,0.95925665,window20.0,2.0
3,10,0.9981549,0.97660464,window20.0,2.0
4,18,0.9984997,0.99066114,window20.0,2.0
5,genome_wide,0.97477216,0.29286358,window20.0,2.0
0,3,0.87162143,0.87037694,minmac2.0,8.0
1,4,0.99385464,0.920713,minmac2.0,8.0
2,6,0.9973835,0.9558662,minmac2.0,8.0
3,10,0.9978135,0.97527623,minmac2.0,8.0
4,18,0.999022,0.9900039,minmac2.0,8.0
5,genome_wide,0.5067296,0.81414586,minmac2.0,8.0
0,3,0.9934331,0.8083262,minmac2.0,2.0
1,4,0.9957407,0.9186493,minmac2.0,2.0
2,6,0.99776757,0.9558662,minmac2.0,2.0
3,10,0.9983436,0.97527623,minmac2.0,2.0
4,18,0.999022,0.9900039,minmac2.0,2.0
5,genome_wide,0.98054713,0.27501795,minmac2.0,2.0
0,3,0.7835259,0.8865054,scale2.2,8.0
1,4,0.9872886,0.9269739,scale2.2,8.0
2,6,0.99641013,0.95925665,scale2.2,8.0
3,10,0.9981549,0.97660464,scale2.2,8.0
4,18,0.9984997,0.99066114,scale2.2,8.0
5,genome_wide,0.40726686,0.8710219,scale2.2,8.0
0,3,0.9923383,0.81470704,window20.0,3.0
1,4,0.994354,0.9232454,window20.0,3.0
2,6,0.99641013,0.95925665,window20.0,3.0
3,10,0.9981549,0.97660464,window20.0,3.0
4,18,0.9984997,0.99066114,window20.0,3.0
5,genome_wide,0.97239417,0.33962205,window20.0,3.0
0,3,0.9923383,0.81470704,default,3.0
1,4,0.994354,0.9232454,default,3.0
2,6,0.99641013,0.95925665,default,3.0
3,10,0.9981549,0.97660464,default,3.0
4,18,0.9984997,0.99066114,default,3.0
5,genome_wide,0.97232825,0.33971798,default,3.0
0,3,0.721969,0.8878412,minmac200.0,8.0
1,4,0.9758123,0.92653847,minmac200.0,8.0
2,6,0.99318635,0.9603264,minmac200.0,8.0
3,10,0.99643576,0.97814286,minmac200.0,8.0
4,18,0.99752504,0.9918819,minmac200.0,8.0
5,genome_wide,0.3724259,0.87912863,minmac200.0,8.0
0,3,0.98514014,0.78330415,minmac200.0,3.0
1,4,0.988765,0.9219642,minmac200.0,3.0
2,6,0.99318635,0.9603264,minmac200.0,3.0
3,10,0.99643576,0.97814286,minmac200.0,3.0
4,18,0.99752504,0.9918819,minmac200.0,3.0
5,genome_wide,0.9398374,0.3201972,minmac200.0,3.0
0,3,0.98514014,0.78197396,minmac200.0,2.0
1,4,0.988765,0.9219642,minmac200.0,2.0
2,6,0.99318635,0.9603264,minmac200.0,2.0
3,10,0.99643576,0.97814286,minmac200.0,2.0
4,18,0.99752504,0.9918819,minmac200.0,2.0
5,genome_wide,0.94567704,0.25714618,minmac200.0,2.0
0,3,0.98495317,0.79379416,minmac200.0,4.0
1,4,0.988765,0.9219642,minmac200.0,4.0
2,6,0.99318635,0.9603264,minmac200.0,4.0
3,10,0.99643576,0.97814286,minmac200.0,4.0
4,18,0.99752504,0.9918819,minmac200.0,4.0
5,genome_wide,0.90221125,0.44577736,minmac200.0,4.0
0,3,0.9923383,0.81420654,default,2.0
1,4,0.994354,0.9232454,default,2.0
2,6,0.99641013,0.95925665,default,2.0
3,10,0.9981549,0.97660464,default,2.0
4,18,0.9984997,0.99066114,default,2.0
5,genome_wide,0.9747395,0.2928518,default,2.0
0,3,0.9923383,0.81954694,window20.0,4.0
1,4,0.994354,0.9232454,window20.0,4.0
2,6,0.99641013,0.95925665,window20.0,4.0
3,10,0.9981549,0.97660464,window20.0,4.0
4,18,0.9984997,0.99066114,window20.0,4.0
5,genome_wide,0.95022637,0.43622437,window20.0,4.0
0,3,0.9923383,0.81420654,window20.0,1.1
1,4,0.994354,0.9232454,window20.0,1.1
2,6,0.99641013,0.95925665,window20.0,1.1
3,10,0.9981549,0.97660464,window20.0,1.1
4,18,0.9984997,0.99066114,window20.0,1.1
5,genome_wide,0.97483855,0.28627333,window20.0,1.1
