,LenBinStart,RateAOverlapByB,RateBOverlapByA,Maf,MinSnp
0,3,0.21889077,0.9288692,0.0,15
1,4,0.47246647,0.93704563,0.0,15
2,6,0.76795405,0.9520738,0.0,15
3,10,0.95009744,0.9749097,0.0,15
4,18,0.9873436,0.9906134,0.0,15
5,genome_wide,0.39636347,0.94815224,0.0,15
0,3,0.27636835,0.9277636,0.01,20
1,4,0.5479869,0.9386538,0.01,20
2,6,0.81355673,0.95586777,0.01,20
3,10,0.9621698,0.97780293,0.01,20
4,18,0.9897125,0.99114597,0.01,20
5,genome_wide,0.43480936,0.9485502,0.01,20
0,3,0.27636835,0.9277636,0.01,15
1,4,0.5479869,0.9386538,0.01,15
2,6,0.81355673,0.95586777,0.01,15
3,10,0.9621698,0.97780293,0.01,15
4,18,0.9897125,0.99114597,0.01,15
5,genome_wide,0.43480936,0.9485502,0.01,15
0,3,0.21889077,0.9288692,0.0,20
1,4,0.47246647,0.93704563,0.0,20
2,6,0.76795405,0.9520738,0.0,20
3,10,0.95009744,0.9749097,0.0,20
4,18,0.9873436,0.9906134,0.0,20
5,genome_wide,0.39636347,0.94815224,0.0,20
0,3,0.006743772,,0.3,40
1,4,0.03207462,0.9422153,0.3,40
2,6,0.43694803,0.95466024,0.3,40
3,10,0.9427534,0.96785,0.3,40
4,18,0.97968733,0.9860718,0.3,40
5,genome_wide,0.21281792,0.96510816,0.3,40
0,3,0.33766544,0.9265216,0.03,1
1,4,0.6233819,0.93980527,0.03,1
2,6,0.8540513,0.9597549,0.03,1
3,10,0.96942455,0.9796875,0.03,1
4,18,0.9907641,0.99180824,0.03,1
5,genome_wide,0.4732789,0.9487422,0.03,1
0,3,0.33766544,0.9265216,0.03,20
1,4,0.6233819,0.93980527,0.03,20
2,6,0.8540513,0.9597549,0.03,20
3,10,0.96942455,0.9796875,0.03,20
4,18,0.9907641,0.99180824,0.03,20
5,genome_wide,0.4732789,0.9487422,0.03,20
0,3,0.0010918889,,0.3,80
1,4,0.002378604,,0.3,80
2,6,0.00863883,,0.3,80
3,10,0.19772927,0.97707343,0.3,80
4,18,0.96669126,0.9861698,0.3,80
5,genome_wide,0.07418851,0.9832259,0.3,80
0,3,0.00010773447,,0.3,160
1,4,0.00022256102,,0.3,160
2,6,0.0009982404,,0.3,160
3,10,0.0051039476,,0.3,160
