,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.590544,0.89831626,30,100
1,4,0.9895669,0.92215014,30,100
2,6,0.9976368,0.9546424,30,100
3,10,0.9984774,0.9753287,30,100
4,18,0.99921346,0.98949605,30,100
5,genome_wide,0.3844141,0.9283955,30,100
0,3,0.9952276,0.8380826,3,30
1,4,0.9966398,0.91364896,3,30
2,6,0.99764365,0.9520597,3,30
3,10,0.9984829,0.974448,3,30
4,18,0.999224,0.9889481,3,30
5,genome_wide,0.9902675,0.45268106,3,30
0,3,0.590544,0.89831877,100,100
1,4,0.9895669,0.92212516,100,100
2,6,0.9976368,0.95464283,100,100
3,10,0.9984774,0.9753301,100,100
4,18,0.99921346,0.98946816,100,100
5,genome_wide,0.3844141,0.92838484,100,100
0,3,0.9952276,0.8380826,3,10
1,4,0.9966398,0.91364896,3,10
2,6,0.99764365,0.9520597,3,10
3,10,0.9984829,0.974448,3,10
4,18,0.999224,0.9889481,3,10
5,genome_wide,0.9902675,0.45268106,3,10
0,3,0.9952276,0.8380826,3,3
1,4,0.9966398,0.91364896,3,3
2,6,0.99764365,0.9520597,3,3
3,10,0.9984829,0.974448,3,3
4,18,0.999224,0.9889481,3,3
5,genome_wide,0.9902675,0.45268106,3,3
0,3,0.5905985,0.89829767,1000,100
1,4,0.9895671,0.92209494,1000,100
2,6,0.997637,0.95452994,1000,100
3,10,0.9984774,0.9751893,1000,100
4,18,0.99921346,0.9894663,1000,100
5,genome_wide,0.38443667,0.92835814,1000,100
0,3,0.590544,0.89831877,300,100
1,4,0.9895671,0.9221212,300,100
2,6,0.997637,0.9546302,300,100
3,10,0.9984774,0.9753268,300,100
4,18,0.99921346,0.98946595,300,100
5,genome_wide,0.38441828,0.928384,300,100
0,3,0.9952294,0.835329,300,30
1,4,0.9966416,0.9124719,300,30
2,6,0.99764556,0.95175874,300,30
3,10,0.9984829,0.9743162,300,30
4,18,0.999224,0.9887931,300,30
5,genome_wide,0.9902714,0.4525186,300,30
0,3,0.99522775,0.8371864,100,3
1,4,0.99664056,0.9132805,100,3
2,6,0.99764365,0.9519772,100,3
3,10,0.9984829,0.97438,100,3
4,18,0.999224,0.98892075,100,3
5,genome_wide,0.9902677,0.45263454,100,3
0,3,0.99523705,0.82959694,1000,30
1,4,0.99664193,0.9094241,1000,30
2,6,0.99764997,0.9510165,1000,30
3,10,0.9984829,0.97400695,1000,30
4,18,0.999224,0.98855007,1000,30
5,genome_wide,0.99027586,0.45228168,1000,30
0,3,0.9952294,0.835329,300,10
1,4,0.9966416,0.9124719,300,10
2,6,0.99764556,0.95175874,300,10
3,10,0.9984829,0.9743162,300,10
4,18,0.999224,0.9887931,300,10
5,genome_wide,0.9902714,0.4525186,300,10
0,3,0.9952276,0.83767605,30,3
1,4,0.9966398,0.9135846,30,3
2,6,0.99764365,0.9520395,30,3
3,10,0.9984829,0.974448,30,3
4,18,0.999224,0.9889481,30,3
5,genome_wide,0.9902675,0.45267087,30,3
0,3,0.99523705,0.82959694,1000,10
1,4,0.99664193,0.9094241,1000,10
2,6,0.99764997,0.9510165,1000,10
3,10,0.9984829,0.97400695,1000,10
4,18,0.999224,0.98855007,1000,10
5,genome_wide,0.99027586,0.45228168,1000,10
0,3,0.99523705,0.82959694,1000,3
1,4,0.99664193,0.9094241,1000,3
2,6,0.99764997,0.9510165,1000,3
3,10,0.9984829,0.97400695,1000,3
4,18,0.999224,0.98855007,1000,3
5,genome_wide,0.99027586,0.45228168,1000,3
0,3,0.99522775,0.8371864,100,30
1,4,0.99664056,0.9132805,100,30
2,6,0.99764365,0.9519772,100,30
3,10,0.9984829,0.97438,100,30
4,18,0.999224,0.98892075,100,30
5,genome_wide,0.9902677,0.45263454,100,30
0,3,0.9952294,0.835329,300,3
1,4,0.9966416,0.9124719,300,3
2,6,0.99764556,0.95175874,300,3
3,10,0.9984829,0.9743162,300,3
4,18,0.999224,0.9887931,300,3
5,genome_wide,0.9902714,0.4525186,300,3
0,3,0.9952276,0.83767605,30,10
1,4,0.9966398,0.9135846,30,10
2,6,0.99764365,0.9520395,30,10
3,10,0.9984829,0.974448,30,10
4,18,0.999224,0.9889481,30,10
5,genome_wide,0.9902675,0.45267087,30,10
0,3,0.99522775,0.8371864,100,10
1,4,0.99664056,0.9132805,100,10
2,6,0.99764365,0.9519772,100,10
3,10,0.9984829,0.97438,100,10
4,18,0.999224,0.98892075,100,10
5,genome_wide,0.9902677,0.45263454,100,10
0,3,0.590544,0.89831626,3,100
1,4,0.9895669,0.92215014,3,100
2,6,0.9976368,0.9546424,3,100
3,10,0.9984774,0.9753287,3,100
4,18,0.99921346,0.98949605,3,100
5,genome_wide,0.3844141,0.9283955,3,100
0,3,0.9952276,0.83767605,30,30
1,4,0.9966398,0.9135846,30,30
2,6,0.99764365,0.9520395,30,30
3,10,0.9984829,0.974448,30,30
4,18,0.999224,0.9889481,30,30
5,genome_wide,0.9902675,0.45267087,30,30
