,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.0019499885,,3,100
1,4,0.011003183,0.9470637,3,100
2,6,0.5254505,0.95894504,3,100
3,10,0.99479306,0.973671,3,100
4,18,0.997246,0.98872465,3,100
5,genome_wide,0.22802031,0.9702601,3,100
0,3,0.98291415,0.82636845,100,10
1,4,0.98779523,0.89220953,100,10
2,6,0.99160814,0.942405,100,10
3,10,0.99483746,0.97133464,100,10
4,18,0.9972626,0.9879125,100,10
5,genome_wide,0.97308534,0.7485646,100,10
0,3,0.9750053,0.8413689,30,30
1,4,0.9877643,0.90161836,30,30
2,6,0.9915827,0.94488,30,30
3,10,0.9948201,0.97236395,30,30
4,18,0.9972537,0.9882732,30,30
5,genome_wide,0.91130793,0.8322849,30,30
0,3,0.9829725,0.82258254,1000,3
1,4,0.98782265,0.88654655,1000,3
2,6,0.99165046,0.9402581,1000,3
3,10,0.99485725,0.97025776,1000,3
4,18,0.99726605,0.9875295,1000,3
5,genome_wide,0.9731486,0.74737704,1000,3
0,3,0.9750077,0.84129757,100,30
1,4,0.987766,0.90147394,100,30
2,6,0.991584,0.9446721,100,30
3,10,0.99482083,0.97228163,100,30
4,18,0.99725467,0.9882416,100,30
5,genome_wide,0.91130984,0.832219,100,30
0,3,0.98291,0.8268638,30,10
1,4,0.98779154,0.89250594,30,10
2,6,0.9916066,0.9426596,30,10
3,10,0.99483633,0.9714326,30,10
4,18,0.99726146,0.9879557,30,10
5,genome_wide,0.973082,0.7486513,30,10
0,3,0.98292816,0.82571316,300,3
1,4,0.98780113,0.8914371,300,3
2,6,0.9916185,0.9418446,300,3
3,10,0.99484295,0.9710719,300,3
4,18,0.9972636,0.9878097,300,3
5,genome_wide,0.97310024,0.7483452,300,3
0,3,0.98291,0.8268596,30,3
1,4,0.98779154,0.8924974,30,3
2,6,0.9916066,0.9426487,30,3
3,10,0.99483633,0.9714326,30,3
4,18,0.99726146,0.9879557,30,3
5,genome_wide,0.973082,0.7486483,30,3
0,3,0.98292816,0.82572025,300,10
1,4,0.98780113,0.89145017,300,10
2,6,0.9916185,0.9418746,300,10
3,10,0.99484295,0.9710719,300,10
4,18,0.9972636,0.9878097,300,10
5,genome_wide,0.97310024,0.7483514,300,10
0,3,0.9829725,0.82258934,1000,10
1,4,0.98782265,0.88655937,1000,10
2,6,0.99165046,0.94028825,1000,10
3,10,0.99485725,0.97025776,1000,10
4,18,0.99726605,0.9875295,1000,10
5,genome_wide,0.9731486,0.74738324,1000,10
0,3,0.9750108,0.8411513,300,30
1,4,0.9877708,0.9011122,300,30
2,6,0.99159116,0.9443402,300,30
3,10,0.99482554,0.9720795,300,30
4,18,0.99725544,0.98818827,300,30
5,genome_wide,0.91132474,0.8320897,300,30
0,3,0.98291415,0.8263644,100,3
1,4,0.98779523,0.89220095,100,3
2,6,0.99160814,0.94239396,100,3
3,10,0.99483746,0.97133464,100,3
4,18,0.9972626,0.9879125,100,3
5,genome_wide,0.97308534,0.7485613,100,3
0,3,0.975033,0.8403831,1000,30
1,4,0.98777944,0.89870346,1000,30
2,6,0.99161637,0.9432582,1000,30
3,10,0.9948301,0.9715551,1000,30
4,18,0.9972562,0.98801535,1000,30
5,genome_wide,0.9113828,0.8314997,1000,30
0,3,0.002022145,,1000,100
1,4,0.011146831,0.9470637,1000,100
2,6,0.5256685,0.95893466,1000,100
3,10,0.99479645,0.97363085,1000,100
4,18,0.9972467,0.9886614,1000,100
5,genome_wide,0.22806734,0.9702338,1000,100
0,3,0.0020015226,,300,100
1,4,0.011083173,0.9470637,300,100
2,6,0.5255948,0.95893896,300,100
3,10,0.9947952,0.97364813,300,100
4,18,0.99724644,0.98868006,300,100
5,genome_wide,0.22804871,0.97024304,300,100
0,3,0.9829093,0.8269852,3,3
1,4,0.9877906,0.8925695,3,3
2,6,0.99160534,0.9427192,3,3
3,10,0.9948356,0.9714675,3,3
4,18,0.99726146,0.98796004,3,3
5,genome_wide,0.97308034,0.7486733,3,3
0,3,0.9829093,0.82698953,3,10
1,4,0.9877906,0.89257795,3,10
2,6,0.99160534,0.94273,3,10
3,10,0.9948356,0.9714675,3,10
4,18,0.99726146,0.98796004,3,10
5,genome_wide,0.97308034,0.7486765,3,10
0,3,0.0020015226,,100,100
1,4,0.011014547,0.9470637,100,100
2,6,0.52546227,0.9589456,100,100
3,10,0.9947941,0.97366774,100,100
4,18,0.9972464,0.98871315,100,100
5,genome_wide,0.22802763,0.97025764,100,100
0,3,0.0019537352,,30,100
1,4,0.011012258,0.9470637,30,100
2,6,0.5254622,0.9589455,30,100
3,10,0.9947938,0.9736678,30,100
4,18,0.997246,0.9887245,30,100
5,genome_wide,0.22802256,0.9702597,30,100
0,3,0.9750051,0.84140944,3,30
1,4,0.98776406,0.90165704,3,30
2,6,0.9915815,0.9449263,3,30
3,10,0.9948194,0.97239757,3,30
4,18,0.9972537,0.98827404,3,30
5,genome_wide,0.9113026,0.8323011,3,30
