,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.9990451,0.9785899,300,3
1,4,0.999306,0.9870132,300,3
2,6,0.99957716,0.9918942,300,3
3,10,0.99973154,0.99587977,300,3
4,18,0.9998885,0.9977817,300,3
5,genome_wide,0.9972824,0.88649017,300,3
0,3,0.9990451,0.9785899,30,10
1,4,0.999306,0.9870132,30,10
2,6,0.99957716,0.9918942,30,10
3,10,0.99973154,0.99587977,30,10
4,18,0.9998885,0.9977817,30,10
5,genome_wide,0.9972824,0.88649017,30,10
0,3,0.9990451,0.9785899,100,30
1,4,0.999306,0.9870132,100,30
2,6,0.99957716,0.9918942,100,30
3,10,0.99973154,0.99587977,100,30
4,18,0.9998885,0.9977817,100,30
5,genome_wide,0.9972824,0.88649017,100,30
0,3,0.9990451,0.9785899,1000,3
1,4,0.999306,0.9870132,1000,3
2,6,0.99957716,0.9918942,1000,3
3,10,0.99973154,0.99587977,1000,3
4,18,0.9998885,0.9977817,1000,3
5,genome_wide,0.9972824,0.88649017,1000,3
0,3,0.9990451,0.9785899,30,30
1,4,0.999306,0.9870132,30,30
2,6,0.99957716,0.9918942,30,30
3,10,0.99973154,0.99587977,30,30
4,18,0.9998885,0.9977817,30,30
5,genome_wide,0.9972824,0.88649017,30,30
0,3,0.9990451,0.9785899,100,10
1,4,0.999306,0.9870132,100,10
2,6,0.99957716,0.9918942,100,10
3,10,0.99973154,0.99587977,100,10
4,18,0.9998885,0.9977817,100,10
5,genome_wide,0.9972824,0.88649017,100,10
0,3,0.9990451,0.9785899,3,100
1,4,0.999306,0.9870132,3,100
2,6,0.99957716,0.9918942,3,100
3,10,0.99973154,0.99587977,3,100
4,18,0.9998885,0.9977817,3,100
5,genome_wide,0.9972824,0.88649017,3,100
0,3,0.9990451,0.9785899,1000,30
1,4,0.999306,0.9870132,1000,30
2,6,0.99957716,0.9918942,1000,30
3,10,0.99973154,0.99587977,1000,30
4,18,0.9998885,0.9977817,1000,30
5,genome_wide,0.9972824,0.88649017,1000,30
0,3,0.9990451,0.9785899,100,3
1,4,0.999306,0.9870132,100,3
2,6,0.99957716,0.9918942,100,3
3,10,0.99973154,0.99587977,100,3
4,18,0.9998885,0.9977817,100,3
5,genome_wide,0.9972824,0.88649017,100,3
0,3,0.9990451,0.9785899,300,30
1,4,0.999306,0.9870132,300,30
2,6,0.99957716,0.9918942,300,30
3,10,0.99973154,0.99587977,300,30
4,18,0.9998885,0.9977817,300,30
5,genome_wide,0.9972824,0.88649017,300,30
0,3,0.9990451,0.9785899,1000,10
1,4,0.999306,0.9870132,1000,10
2,6,0.99957716,0.9918942,1000,10
3,10,0.99973154,0.99587977,1000,10
4,18,0.9998885,0.9977817,1000,10
5,genome_wide,0.9972824,0.88649017,1000,10
0,3,0.9990451,0.9785899,300,10
1,4,0.999306,0.9870132,300,10
2,6,0.99957716,0.9918942,300,10
3,10,0.99973154,0.99587977,300,10
4,18,0.9998885,0.9977817,300,10
5,genome_wide,0.9972824,0.88649017,300,10
0,3,0.9990451,0.9785899,30,3
1,4,0.999306,0.9870132,30,3
2,6,0.99957716,0.9918942,30,3
3,10,0.99973154,0.99587977,30,3
4,18,0.9998885,0.9977817,30,3
5,genome_wide,0.9972824,0.88649017,30,3
0,3,0.9990451,0.9785899,3,3
1,4,0.999306,0.9870132,3,3
2,6,0.99957716,0.9918942,3,3
3,10,0.99973154,0.99587977,3,3
4,18,0.9998885,0.9977817,3,3
5,genome_wide,0.9972824,0.88649017,3,3
0,3,0.9990451,0.9785899,300,100
1,4,0.999306,0.9870132,300,100
2,6,0.99957716,0.9918942,300,100
3,10,0.99973154,0.99587977,300,100
4,18,0.9998885,0.9977817,300,100
5,genome_wide,0.9972824,0.88649017,300,100
0,3,0.9990451,0.9785899,1000,100
1,4,0.999306,0.9870132,1000,100
2,6,0.99957716,0.9918942,1000,100
3,10,0.99973154,0.99587977,1000,100
4,18,0.9998885,0.9977817,1000,100
5,genome_wide,0.9972824,0.88649017,1000,100
0,3,0.9990451,0.9785899,3,30
1,4,0.999306,0.9870132,3,30
2,6,0.99957716,0.9918942,3,30
3,10,0.99973154,0.99587977,3,30
4,18,0.9998885,0.9977817,3,30
5,genome_wide,0.9972824,0.88649017,3,30
0,3,0.9990451,0.9785899,30,100
1,4,0.999306,0.9870132,30,100
2,6,0.99957716,0.9918942,30,100
3,10,0.99973154,0.99587977,30,100
4,18,0.9998885,0.9977817,30,100
5,genome_wide,0.9972824,0.88649017,30,100
0,3,0.9990451,0.9785899,100,100
1,4,0.999306,0.9870132,100,100
2,6,0.99957716,0.9918942,100,100
3,10,0.99973154,0.99587977,100,100
4,18,0.9998885,0.9977817,100,100
5,genome_wide,0.9972824,0.88649017,100,100
0,3,0.9990451,0.9785899,3,10
1,4,0.999306,0.9870132,3,10
2,6,0.99957716,0.9918942,3,10
3,10,0.99973154,0.99587977,3,10
4,18,0.9998885,0.9977817,3,10
5,genome_wide,0.9972824,0.88649017,3,10
