,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.985161,0.75267565,300,30
1,4,0.9893679,0.9078418,300,30
2,6,0.99326193,0.95629567,300,30
3,10,0.99527955,0.9802511,300,30
4,18,0.9974386,0.9920288,300,30
5,genome_wide,0.93381035,0.3201802,300,30
0,3,0.9853505,0.7342054,100,3
1,4,0.9893679,0.9041224,100,3
2,6,0.99326193,0.9555734,100,3
3,10,0.99527955,0.9800512,100,3
4,18,0.9974386,0.9920288,100,3
5,genome_wide,0.9525508,0.23300838,100,3
0,3,0.985164,0.74511904,1000,30
1,4,0.9893758,0.90208685,1000,30
2,6,0.99326193,0.9550329,1000,30
3,10,0.99527955,0.9799121,1000,30
4,18,0.9974386,0.9920288,1000,30
5,genome_wide,0.9338131,0.32005447,1000,30
0,3,0.9853505,0.7362282,30,3
1,4,0.9893679,0.9058508,30,3
2,6,0.99324554,0.95604676,30,3
3,10,0.99527955,0.9800512,30,3
4,18,0.9974386,0.9920288,30,3
5,genome_wide,0.9525463,0.23305693,30,3
0,3,0.9853617,0.7287017,300,10
1,4,0.9893679,0.90233463,300,10
2,6,0.99326193,0.9555734,300,10
3,10,0.99527955,0.9800512,300,10
4,18,0.9974386,0.9920288,300,10
5,genome_wide,0.95255417,0.23295641,300,10
0,3,0.9853648,0.7150571,1000,10
1,4,0.9893758,0.8943442,1000,10
2,6,0.99326193,0.95276135,1000,10
3,10,0.99527955,0.9797126,1000,10
4,18,0.9974386,0.9920288,1000,10
5,genome_wide,0.9525585,0.2328256,1000,10
0,3,0.9853648,0.7150571,1000,3
1,4,0.9893758,0.8943442,1000,3
2,6,0.99326193,0.95276135,1000,3
3,10,0.99527955,0.9797126,1000,3
4,18,0.9974386,0.9920288,1000,3
5,genome_wide,0.9525585,0.2328256,1000,3
0,3,0.9851497,0.75535154,100,30
1,4,0.9893679,0.9093643,100,30
2,6,0.99326193,0.95629567,100,30
3,10,0.99527955,0.9802511,100,30
4,18,0.9974386,0.9920288,100,30
5,genome_wide,0.933807,0.32023945,100,30
0,3,0.9853505,0.7362282,30,10
1,4,0.9893679,0.9058508,30,10
2,6,0.99324554,0.95604676,30,10
3,10,0.99527955,0.9800512,30,10
4,18,0.9974386,0.9920288,30,10
5,genome_wide,0.9525463,0.23305693,30,10
0,3,0.9853617,0.7287017,300,3
1,4,0.9893679,0.90233463,300,3
2,6,0.99326193,0.9555734,300,3
3,10,0.99527955,0.9800512,300,3
4,18,0.9974386,0.9920288,300,3
5,genome_wide,0.95255417,0.23295641,300,3
0,3,0.0025395195,0.9486011,3,100
1,4,0.23353407,0.9559422,3,100
2,6,0.93200165,0.960245,3,100
3,10,0.99527955,0.9802511,3,100
4,18,0.9974386,0.9920288,3,100
5,genome_wide,0.0721507,0.9632762,3,100
0,3,0.9853505,0.7342054,100,10
1,4,0.9893679,0.9041224,100,10
2,6,0.99326193,0.9555734,100,10
3,10,0.99527955,0.9800512,100,10
4,18,0.9974386,0.9920288,100,10
5,genome_wide,0.9525508,0.23300838,100,10
0,3,0.9851497,0.75615567,30,30
1,4,0.9893679,0.91103476,30,30
2,6,0.99324554,0.9567709,30,30
3,10,0.99527955,0.9802511,30,30
4,18,0.9974386,0.9920288,30,30
5,genome_wide,0.9338027,0.3202907,30,30
0,3,0.0025395195,0.9486011,30,100
1,4,0.23353407,0.9559422,30,100
2,6,0.93200165,0.960245,30,100
3,10,0.99527955,0.9802511,30,100
4,18,0.9974386,0.9920288,30,100
5,genome_wide,0.0721507,0.9632762,30,100
0,3,0.9851497,0.7566175,3,30
1,4,0.9893679,0.9120473,3,30
2,6,0.99324554,0.9567709,3,30
3,10,0.99527955,0.9802511,3,30
4,18,0.9974386,0.9920288,3,30
5,genome_wide,0.9338027,0.3203036,3,30
0,3,0.9853505,0.73733866,3,10
1,4,0.9893679,0.90707487,3,10
2,6,0.99324554,0.95604676,3,10
3,10,0.99527955,0.9800512,3,10
4,18,0.9974386,0.9920288,3,10
5,genome_wide,0.95254505,0.23307443,3,10
0,3,0.0025395195,0.9486011,100,100
1,4,0.23353407,0.9559422,100,100
2,6,0.93200165,0.960245,100,100
3,10,0.99527955,0.9802511,100,100
4,18,0.9974386,0.9920288,100,100
5,genome_wide,0.0721507,0.9632762,100,100
0,3,0.9853505,0.73733866,3,3
1,4,0.9893679,0.90707487,3,3
2,6,0.99324554,0.95604676,3,3
3,10,0.99527955,0.9800512,3,3
4,18,0.9974386,0.9920288,3,3
5,genome_wide,0.95254505,0.23307443,3,3
0,3,0.0025395195,0.9486011,1000,100
1,4,0.23353407,0.9559422,1000,100
2,6,0.93200165,0.960245,1000,100
3,10,0.99527955,0.9802511,1000,100
4,18,0.9974386,0.9920288,1000,100
5,genome_wide,0.0721507,0.9632762,1000,100
0,3,0.0025395195,0.9486011,300,100
1,4,0.23353407,0.9559422,300,100
2,6,0.93200165,0.960245,300,100
3,10,0.99527955,0.9802511,300,100
4,18,0.9974386,0.9920288,300,100
5,genome_wide,0.0721507,0.9632762,300,100
