,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.98481846,0.73728085,100,3
1,4,0.988579,0.89838696,100,3
2,6,0.9927695,0.9559508,100,3
3,10,0.9955163,0.97771585,100,3
4,18,0.9979347,0.9892046,100,3
5,genome_wide,0.95233387,0.24291025,100,3
0,3,0.9848084,0.751653,1000,30
1,4,0.9885872,0.896903,1000,30
2,6,0.99278027,0.95519006,1000,30
3,10,0.9955125,0.97729397,1000,30
4,18,0.9979372,0.98908776,1000,30
5,genome_wide,0.9316636,0.32064855,1000,30
0,3,0.98480505,0.7560037,300,30
1,4,0.98857385,0.9028188,300,30
2,6,0.9927707,0.9558196,300,30
3,10,0.9955125,0.97773504,300,30
4,18,0.9979347,0.9892046,300,30
5,genome_wide,0.9316551,0.32077348,300,30
0,3,0.98483723,0.7204686,1000,10
1,4,0.98859555,0.8885447,1000,10
2,6,0.99278027,0.9545958,1000,10
3,10,0.99557155,0.9768052,1000,10
4,18,0.9979372,0.98908776,1000,10
5,genome_wide,0.9523545,0.24270318,1000,10
0,3,0.98483217,0.7312164,300,10
1,4,0.98858005,0.89548415,300,10
2,6,0.9927707,0.95534277,300,10
3,10,0.99557155,0.9772463,300,10
4,18,0.9979347,0.9892046,300,10
5,genome_wide,0.9523406,0.24284807,300,10
0,3,0.9848079,0.7400026,30,3
1,4,0.9885749,0.899918,30,3
2,6,0.9927695,0.9559508,30,3
3,10,0.9955163,0.97771585,30,3
4,18,0.9979347,0.9892046,30,3
5,genome_wide,0.9523287,0.2429308,30,3
0,3,0.98483217,0.7312164,300,3
1,4,0.98858005,0.89548415,300,3
2,6,0.9927707,0.95534277,300,3
3,10,0.99557155,0.9772463,300,3
4,18,0.9979347,0.9892046,300,3
5,genome_wide,0.9523406,0.24284807,300,3
0,3,0.9848079,0.7400026,30,10
1,4,0.9885749,0.899918,30,10
2,6,0.9927695,0.9559508,30,10
3,10,0.9955163,0.97771585,30,10
4,18,0.9979347,0.9892046,30,10
5,genome_wide,0.9523287,0.2429308,30,10
0,3,0.98483723,0.7204686,1000,3
1,4,0.98859555,0.8885447,1000,3
2,6,0.99278027,0.9545958,1000,3
3,10,0.99557155,0.9768052,1000,3
4,18,0.9979372,0.98908776,1000,3
5,genome_wide,0.9523545,0.24270318,1000,3
0,3,0.98480093,0.75844324,100,30
1,4,0.98857385,0.905086,100,30
2,6,0.9927695,0.95616615,100,30
3,10,0.9955125,0.977985,100,30
4,18,0.9979347,0.9892046,100,30
5,genome_wide,0.9316524,0.32083198,100,30
0,3,0.9847998,0.75946224,30,30
1,4,0.9885698,0.90574163,30,30
2,6,0.9927695,0.95616615,30,30
3,10,0.9955125,0.977985,30,30
4,18,0.9979347,0.9892046,30,30
5,genome_wide,0.93164897,0.3208554,30,30
0,3,0.98481846,0.73728085,100,10
1,4,0.988579,0.89838696,100,10
2,6,0.9927695,0.9559508,100,10
3,10,0.9955163,0.97771585,100,10
4,18,0.9979347,0.9892046,100,10
5,genome_wide,0.95233387,0.24291025,100,10
0,3,0.0027237332,,3,100
1,4,0.19120538,0.94814676,3,100
2,6,0.93972063,0.96050227,3,100
3,10,0.99550563,0.97904724,3,100
4,18,0.9979347,0.99025,3,100
5,genome_wide,0.06758854,0.9622372,3,100
0,3,0.9847998,0.7597564,3,30
1,4,0.9885698,0.9062391,3,30
2,6,0.9927695,0.95616615,3,30
3,10,0.9955125,0.977985,3,30
4,18,0.9979347,0.9892046,3,30
5,genome_wide,0.93164384,0.3208715,3,30
0,3,0.0027237332,,30,100
1,4,0.19120538,0.94814676,30,100
2,6,0.93972063,0.96050227,30,100
3,10,0.99550563,0.97904724,30,100
4,18,0.9979347,0.99025,30,100
5,genome_wide,0.06758854,0.9622372,30,100
0,3,0.0027237332,,100,100
1,4,0.19120538,0.94814676,100,100
2,6,0.93972063,0.96050227,100,100
3,10,0.99550563,0.97904724,100,100
4,18,0.9979347,0.99025,100,100
5,genome_wide,0.06758854,0.9622372,100,100
0,3,0.9848079,0.7412418,3,10
1,4,0.9885749,0.9011341,3,10
2,6,0.9927695,0.9559508,3,10
3,10,0.9955163,0.97771585,3,10
4,18,0.9979347,0.9892046,3,10
5,genome_wide,0.95232344,0.24294913,3,10
0,3,0.9848079,0.7412418,3,3
1,4,0.9885749,0.9011341,3,3
2,6,0.9927695,0.9559508,3,3
3,10,0.9955163,0.97771585,3,3
4,18,0.9979347,0.9892046,3,3
5,genome_wide,0.95232344,0.24294913,3,3
0,3,0.003113445,,300,100
1,4,0.19120538,0.94814676,300,100
2,6,0.9397219,0.9605146,300,100
3,10,0.99550563,0.978791,300,100
4,18,0.9979347,0.99025,300,100
5,genome_wide,0.067610905,0.9622149,300,100
0,3,0.003113445,,1000,100
1,4,0.19120538,0.94814676,1000,100
2,6,0.9397219,0.9605146,1000,100
3,10,0.99550563,0.97875214,1000,100
4,18,0.9979372,0.9901316,1000,100
5,genome_wide,0.06761091,0.9622112,1000,100
