,LenBinStart,RateAOverlapByB,RateBOverlapByA,MaxGap,MinMarkers
0,3,0.9992513,0.9861942,1000,100
1,4,0.9994484,0.9914943,1000,100
2,6,0.99965435,0.9955468,1000,100
3,10,0.9997898,0.9967933,1000,100
4,18,0.99992514,0.9987402,1000,100
5,genome_wide,0.9907982,0.9282132,1000,100
0,3,0.9992513,0.9861942,1000,40
1,4,0.9994484,0.9914943,1000,40
2,6,0.99965435,0.9955468,1000,40
3,10,0.9997898,0.9967933,1000,40
4,18,0.99992514,0.9987402,1000,40
5,genome_wide,0.9907982,0.9282132,1000,40
0,3,0.9992513,0.9861942,1000,60
1,4,0.9994484,0.9914943,1000,60
2,6,0.99965435,0.9955468,1000,60
3,10,0.9997898,0.9967933,1000,60
4,18,0.99992514,0.9987402,1000,60
5,genome_wide,0.9907982,0.9282132,1000,60
0,3,0.9992513,0.9861942,1000,90
1,4,0.9994484,0.9914943,1000,90
2,6,0.99965435,0.9955468,1000,90
3,10,0.9997898,0.9967933,1000,90
4,18,0.99992514,0.9987402,1000,90
5,genome_wide,0.9907982,0.9282132,1000,90
0,3,0.9992513,0.9861942,1000,50
1,4,0.9994484,0.9914943,1000,50
2,6,0.99965435,0.9955468,1000,50
3,10,0.9997898,0.9967933,1000,50
4,18,0.99992514,0.9987402,1000,50
5,genome_wide,0.9907982,0.9282132,1000,50
0,3,0.9992513,0.9861942,1000,80
1,4,0.9994484,0.9914943,1000,80
2,6,0.99965435,0.9955468,1000,80
3,10,0.9997898,0.9967933,1000,80
4,18,0.99992514,0.9987402,1000,80
5,genome_wide,0.9907982,0.9282132,1000,80
0,3,0.9992513,0.9861942,1000,70
1,4,0.9994484,0.9914943,1000,70
2,6,0.99965435,0.9955468,1000,70
3,10,0.9997898,0.9967933,1000,70
4,18,0.99992514,0.9987402,1000,70
5,genome_wide,0.9907982,0.9282132,1000,70
0,3,0.9992513,0.9861942,1000,30
1,4,0.9994484,0.9914943,1000,30
2,6,0.99965435,0.9955468,1000,30
3,10,0.9997898,0.9967933,1000,30
4,18,0.99992514,0.9987402,1000,30
5,genome_wide,0.9907982,0.9282132,1000,30
