,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.00049773254,,template1_mac20,300
1,4,0.0009500312,,template1_mac20,300
2,6,0.028922645,0.9310094,template1_mac20,300
3,10,0.9046255,0.95069253,template1_mac20,300
4,18,0.9993086,0.97287744,template1_mac20,300
5,genome_wide,0.03808889,0.957282,template1_mac20,300
0,3,0.9996799,0.050489552,template1_mac0,100
1,4,0.99968064,0.059808403,template1_mac0,100
2,6,0.99978036,0.31008947,template1_mac0,100
3,10,0.99982226,0.86464953,template1_mac0,100
4,18,0.99981475,0.9616418,template1_mac0,100
5,genome_wide,0.99955124,0.03270226,template1_mac0,100
0,3,0.9993062,9.9953046e-05,template1_mac20,3
1,4,0.99934787,0.00022021245,template1_mac20,3
2,6,0.9994086,0.00037498918,template1_mac20,3
3,10,0.9994967,0.00055977755,template1_mac20,3
4,18,0.9994761,0.000928406,template1_mac20,3
5,genome_wide,0.9992892,0.0005566607,template1_mac20,3
0,3,0.9998352,9.2389455e-05,template1_mac0,10
1,4,0.99983704,0.0001793008,template1_mac0,10
2,6,0.9998366,0.0003125241,template1_mac0,10
3,10,0.9998552,0.00044378123,template1_mac0,10
4,18,0.9998275,0.00065846904,template1_mac0,10
5,genome_wide,0.9998492,0.0005317588,template1_mac0,10
0,3,0.9992938,0.0008078927,template0_mac20,30
1,4,0.99933285,0.0013564804,template0_mac20,30
2,6,0.9993725,0.002468818,template0_mac20,30
3,10,0.9994537,0.005998562,template0_mac20,30
4,18,0.9994735,0.06584758,template0_mac20,30
5,genome_wide,0.99921983,0.0017522054,template0_mac20,30
0,3,0.00077425066,,template0_mac20,300
1,4,0.0021318188,,template0_mac20,300
2,6,0.069084704,0.8971508,template0_mac20,300
3,10,0.94614583,0.9100586,template0_mac20,300
4,18,0.9994623,0.9524077,template0_mac20,300
5,genome_wide,0.04215214,0.9225458,template0_mac20,300
0,3,0.9994211,7.899026e-05,template0_mac20,3
1,4,0.9994835,0.00018558257,template0_mac20,3
2,6,0.9994791,0.0002929157,template0_mac20,3
3,10,0.99952585,0.0003919971,template0_mac20,3
4,18,0.99948776,0.00053293596,template0_mac20,3
5,genome_wide,0.9994833,0.0005231408,template0_mac20,3
0,3,0.9980707,0.013685818,template1_mac20,30
1,4,0.99837106,0.03409935,template1_mac20,30
2,6,0.9987543,0.14571296,template1_mac20,30
3,10,0.99917185,0.7802824,template1_mac20,30
4,18,0.9993239,0.95357007,template1_mac20,30
5,genome_wide,0.99735516,0.017862765,template1_mac20,30
0,3,0.91259706,0.106927685,template0_mac20,100
1,4,0.99835795,0.32836786,template0_mac20,100
2,6,0.99931127,0.78191584,template0_mac20,100
3,10,0.9994217,0.8738375,template0_mac20,100
4,18,0.99945956,0.9477847,template0_mac20,100
5,genome_wide,0.63556945,0.25162107,template0_mac20,100
0,3,0.9998021,0.00025373898,template1_mac0,30
1,4,0.99980605,0.00053682126,template1_mac0,30
2,6,0.99981964,0.0010657391,template1_mac0,30
3,10,0.9998492,0.0023718143,template1_mac0,30
4,18,0.99981916,0.015128754,template1_mac0,30
5,genome_wide,0.9998101,0.0008382213,template1_mac0,30
0,3,0.99947226,0.00011712668,template0_mac20,10
1,4,0.9994658,0.00023106321,template0_mac20,10
2,6,0.9993002,0.0003662781,template0_mac20,10
3,10,0.99952775,0.00052764703,template0_mac20,10
4,18,0.99948055,0.0008054514,template0_mac20,10
5,genome_wide,0.99944174,0.0005661512,template0_mac20,10
0,3,0.47000113,0.7635549,template1_mac0,300
1,4,0.9881052,0.81456816,template1_mac0,300
2,6,0.999767,0.8899647,template1_mac0,300
3,10,0.9998188,0.9355056,template1_mac0,300
4,18,0.99981254,0.9666635,template1_mac0,300
5,genome_wide,0.3524727,0.848669,template1_mac0,300
0,3,0.77806175,0.72338504,template1_mac20,100
1,4,0.9961171,0.8154188,template1_mac20,100
2,6,0.9986718,0.8950968,template1_mac20,100
3,10,0.9991339,0.9389903,template1_mac20,100
4,18,0.9993163,0.9700653,template1_mac20,100
5,genome_wide,0.47430855,0.81612504,template1_mac20,100
0,3,0.99984545,9.389471e-05,template1_mac0,3
1,4,0.9998443,0.00015160913,template1_mac0,3
2,6,0.99983805,0.00029145923,template1_mac0,3
3,10,0.99985623,0.00036519038,template1_mac0,3
4,18,0.9998277,0.0005128533,template1_mac0,3
5,genome_wide,0.99985176,0.0005176962,template1_mac0,3
0,3,0.9989323,0.00031833988,template1_mac20,10
1,4,0.9990297,0.0006578447,template1_mac20,10
2,6,0.99920464,0.0013682452,template1_mac20,10
3,10,0.9993812,0.0035197306,template1_mac20,10
4,18,0.9994333,0.03502538,template1_mac20,10
5,genome_wide,0.9987598,0.0009374652,template1_mac20,10
