,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.99927324,0.0037780323,template0_mac20,10
1,4,0.9995518,0.007021217,template0_mac20,10
2,6,0.9995657,0.012081368,template0_mac20,10
3,10,0.9995081,0.0191116,template0_mac20,10
4,18,0.99960583,0.034636658,template0_mac20,10
5,genome_wide,0.9997681,0.019688616,template0_mac20,10
0,3,0.9991949,0.0029802746,template1_mac20,3
1,4,0.9994457,0.006444119,template1_mac20,3
2,6,0.99948305,0.0119444085,template1_mac20,3
3,10,0.9994846,0.020708684,template1_mac20,3
4,18,0.9995865,0.040599823,template1_mac20,3
5,genome_wide,0.99971515,0.019056829,template1_mac20,3
0,3,0.99843013,0.13709705,template1_mac0,30
1,4,0.9990058,0.2634671,template1_mac0,30
2,6,0.9991934,0.5165676,template1_mac0,30
3,10,0.9993566,0.82306916,template1_mac0,30
4,18,0.9995547,0.94563395,template1_mac0,30
5,genome_wide,0.9992693,0.23264997,template1_mac0,30
0,3,0.71891737,0.53830636,template0_mac20,100
1,4,0.98964447,0.64704174,template0_mac20,100
2,6,0.99927694,0.78943753,template0_mac20,100
3,10,0.9994237,0.86976516,template0_mac20,100
4,18,0.9995687,0.93896157,template0_mac20,100
5,genome_wide,0.68693584,0.73961353,template0_mac20,100
0,3,0.9994162,0.002802701,template0_mac20,3
1,4,0.9995649,0.0051275548,template0_mac20,3
2,6,0.99958754,0.00846507,template0_mac20,3
3,10,0.99954486,0.012216315,template0_mac20,3
4,18,0.9995942,0.01831947,template0_mac20,3
5,genome_wide,0.9998157,0.01744209,template0_mac20,3
0,3,0.99858314,0.010816961,template1_mac20,10
1,4,0.9990794,0.023336897,template1_mac20,10
2,6,0.99923366,0.05252066,template1_mac20,10
3,10,0.99932456,0.14904782,template1_mac20,10
4,18,0.9995164,0.6558555,template1_mac20,10
5,genome_wide,0.99936473,0.03603581,template1_mac20,10
0,3,0.47993192,0.77871215,template1_mac20,100
1,4,0.97090095,0.82214206,template1_mac20,100
2,6,0.9986167,0.8895427,template1_mac20,100
3,10,0.99902916,0.9291655,template1_mac20,100
4,18,0.99939567,0.9631628,template1_mac20,100
5,genome_wide,0.59083754,0.8684789,template1_mac20,100
0,3,0.0012114308,,template1_mac0,300
1,4,0.00284749,,template1_mac0,300
2,6,0.078080945,0.9381579,template1_mac0,300
3,10,0.96591413,0.9437384,template1_mac0,300
4,18,0.9994492,0.9686035,template1_mac0,300
5,genome_wide,0.15339658,0.95160234,template1_mac0,300
0,3,0.99907,0.03246883,template0_mac20,30
1,4,0.9994065,0.05042857,template0_mac20,30
2,6,0.9994557,0.09799405,template0_mac20,30
3,10,0.99946475,0.23169293,template0_mac20,30
4,18,0.9995815,0.73364526,template0_mac20,30
5,genome_wide,0.99965954,0.07374605,template0_mac20,30
0,3,0.99907976,0.0070820134,template1_mac0,10
1,4,0.99942183,0.014966631,template1_mac0,10
2,6,0.99950206,0.03195568,template1_mac0,10
3,10,0.9995348,0.07681185,template1_mac0,10
4,18,0.9996365,0.36584097,template1_mac0,10
5,genome_wide,0.99966216,0.028068187,template1_mac0,10
0,3,0.8547969,0.71980464,template1_mac0,100
1,4,0.9979176,0.80511624,template1_mac0,100
2,6,0.99894446,0.8859895,template1_mac0,100
3,10,0.9992929,0.9205482,template1_mac0,100
4,18,0.9995336,0.96364874,template1_mac0,100
5,genome_wide,0.7251298,0.83379656,template1_mac0,100
0,3,0.0008983554,,template1_mac20,300
1,4,0.0016677419,,template1_mac20,300
2,6,0.0068874652,0.9701019,template1_mac20,300
3,10,0.67350554,0.9512746,template1_mac20,300
4,18,0.9993856,0.9703806,template1_mac20,300
5,genome_wide,0.11750227,0.9597334,template1_mac20,300
0,3,0.9994404,0.0025828045,template1_mac0,3
1,4,0.9996302,0.0055689253,template1_mac0,3
2,6,0.9996316,0.010286696,template1_mac0,3
3,10,0.9996179,0.01673726,template1_mac0,3
4,18,0.9996687,0.029476162,template1_mac0,3
5,genome_wide,0.99981046,0.018267876,template1_mac0,3
0,3,0.99766785,0.2984324,template1_mac20,30
1,4,0.9984838,0.39200386,template1_mac20,30
2,6,0.99879986,0.6572498,template1_mac20,30
3,10,0.9990648,0.86910874,template1_mac20,30
4,18,0.9994087,0.95577615,template1_mac20,30
5,genome_wide,0.9985962,0.35406932,template1_mac20,30
0,3,0.0014993864,,template0_mac20,300
1,4,0.003001929,,template0_mac20,300
2,6,0.01754728,0.95613205,template0_mac20,300
3,10,0.7458273,0.9144282,template0_mac20,300
4,18,0.9995676,0.9513539,template0_mac20,300
5,genome_wide,0.12530008,0.9305539,template0_mac20,300
