,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.10832626,,template0_mac20,150
1,4,0.6676943,0.71559924,template0_mac20,150
2,6,0.99931127,0.8049886,template0_mac20,150
3,10,0.9994217,0.89547646,template0_mac20,150
4,18,0.9994623,0.943913,template0_mac20,150
5,genome_wide,0.22554725,0.8040665,template0_mac20,150
0,3,0.0011613759,,template1_mac20,200
1,4,0.021439679,0.9212235,template1_mac20,200
2,6,0.7364634,0.9149023,template1_mac20,200
3,10,0.9991339,0.9460096,template1_mac20,200
4,18,0.9993121,0.9668609,template1_mac20,200
5,genome_wide,0.093886994,0.9319901,template1_mac20,200
0,3,0.0006636434,,template1_mac20,250
1,4,0.0015043757,,template1_mac20,250
2,6,0.26210526,0.9320105,template1_mac20,250
3,10,0.9987234,0.94611216,template1_mac20,250
4,18,0.9993086,0.971218,template1_mac20,250
5,genome_wide,0.057243608,0.94788045,template1_mac20,250
0,3,0.91259706,0.106927685,template0_mac20,100
1,4,0.99835795,0.32836786,template0_mac20,100
2,6,0.99931127,0.78191584,template0_mac20,100
3,10,0.9994217,0.8738375,template0_mac20,100
4,18,0.99945956,0.9477847,template0_mac20,100
5,genome_wide,0.63556945,0.25162107,template0_mac20,100
0,3,0.9980707,0.013685818,template1_mac20,30
1,4,0.99837106,0.03409935,template1_mac20,30
2,6,0.9987543,0.14571296,template1_mac20,30
3,10,0.99917185,0.7802824,template1_mac20,30
4,18,0.9993239,0.95357007,template1_mac20,30
5,genome_wide,0.99735516,0.017862765,template1_mac20,30
0,3,0.99793446,0.38067582,template1_mac20,50
1,4,0.99826884,0.53370273,template1_mac20,50
2,6,0.9986819,0.75402683,template1_mac20,50
3,10,0.9991352,0.9280099,template1_mac20,50
4,18,0.99932295,0.9724486,template1_mac20,50
5,genome_wide,0.99517477,0.07854628,template1_mac20,50
0,3,0.0039757127,,template0_mac20,200
1,4,0.079319715,0.89366496,template0_mac20,200
2,6,0.85185105,0.844024,template0_mac20,200
3,10,0.9994217,0.8974022,template0_mac20,200
4,18,0.9994623,0.94628453,template0_mac20,200
5,genome_wide,0.11034959,0.8737167,template0_mac20,200
0,3,0.022592092,,template1_mac20,150
1,4,0.47815722,0.871669,template1_mac20,150
2,6,0.99866885,0.8982335,template1_mac20,150
3,10,0.9991339,0.94430834,template1_mac20,150
4,18,0.9993179,0.96666783,template1_mac20,150
5,genome_wide,0.17866132,0.90465117,template1_mac20,150
0,3,0.77806175,0.72338504,template1_mac20,100
1,4,0.9961171,0.8154188,template1_mac20,100
2,6,0.9986718,0.8950968,template1_mac20,100
3,10,0.9991339,0.9389903,template1_mac20,100
4,18,0.9993163,0.9700653,template1_mac20,100
5,genome_wide,0.47430855,0.81612504,template1_mac20,100
0,3,0.0011613759,,template0_mac20,250
1,4,0.005228353,,template0_mac20,250
2,6,0.35332492,0.87498623,template0_mac20,250
3,10,0.9994199,0.8996612,template0_mac20,250
4,18,0.9994623,0.9511731,template0_mac20,250
5,genome_wide,0.06423769,0.9041415,template0_mac20,250
0,3,0.99969614,0.008359225,template1_mac0,80
1,4,0.9997265,0.022305412,template1_mac0,80
2,6,0.9997875,0.086586826,template1_mac0,80
3,10,0.9998281,0.643954,template1_mac0,80
4,18,0.99981475,0.9500056,template1_mac0,80
5,genome_wide,0.9996737,0.0124743935,template1_mac0,80
0,3,0.9992938,0.0008078927,template0_mac20,30
1,4,0.99933285,0.0013564804,template0_mac20,30
2,6,0.9993725,0.002468818,template0_mac20,30
3,10,0.9994537,0.005998562,template0_mac20,30
4,18,0.9994735,0.06584758,template0_mac20,30
5,genome_wide,0.99921983,0.0017522054,template0_mac20,30
0,3,0.99918133,0.014436306,template0_mac20,50
1,4,0.9992519,0.017063785,template0_mac20,50
2,6,0.99931806,0.031539083,template0_mac20,50
3,10,0.9994272,0.18597664,template0_mac20,50
4,18,0.9994655,0.90401965,template0_mac20,50
5,genome_wide,0.99862635,0.008461592,template0_mac20,50
0,3,0.47000113,0.7635549,template1_mac0,300
1,4,0.9881052,0.81456816,template1_mac0,300
2,6,0.999767,0.8899647,template1_mac0,300
3,10,0.9998188,0.9355056,template1_mac0,300
4,18,0.99981254,0.9666635,template1_mac0,300
5,genome_wide,0.3524727,0.848669,template1_mac0,300
0,3,0.9996281,0.3881814,template1_mac0,150
