,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.0008983554,,template1_mac20,300
1,4,0.0016677419,,template1_mac20,300
2,6,0.0068874652,0.9701019,template1_mac20,300
3,10,0.67350554,0.9512746,template1_mac20,300
4,18,0.9993856,0.9703806,template1_mac20,300
5,genome_wide,0.11750227,0.9597334,template1_mac20,300
0,3,0.05725325,0.9052063,template1_mac0,150
1,4,0.62070954,0.8511999,template1_mac0,150
2,6,0.99816316,0.89015347,template1_mac0,150
3,10,0.99923664,0.9360258,template1_mac0,150
4,18,0.9995084,0.96175516,template1_mac0,150
5,genome_wide,0.429123,0.89833117,template1_mac0,150
0,3,0.99753934,0.60687584,template1_mac20,50
1,4,0.9983934,0.76855105,template1_mac20,50
2,6,0.9987304,0.81865376,template1_mac20,50
3,10,0.99903536,0.91202754,template1_mac20,50
4,18,0.99939483,0.96528095,template1_mac20,50
5,genome_wide,0.99024427,0.5690031,template1_mac20,50
0,3,0.99766785,0.2984324,template1_mac20,30
1,4,0.9984838,0.39200386,template1_mac20,30
2,6,0.99879986,0.6572498,template1_mac20,30
3,10,0.9990648,0.86910874,template1_mac20,30
4,18,0.9994087,0.95577615,template1_mac20,30
5,genome_wide,0.9985962,0.35406932,template1_mac20,30
0,3,0.8547969,0.71980464,template1_mac0,100
1,4,0.9979176,0.80511624,template1_mac0,100
2,6,0.99894446,0.8859895,template1_mac0,100
3,10,0.9992929,0.9205482,template1_mac0,100
4,18,0.9995336,0.96364874,template1_mac0,100
5,genome_wide,0.7251298,0.83379656,template1_mac0,100
0,3,0.9927184,0.6465038,template1_mac0,80
1,4,0.99877447,0.79697657,template1_mac0,80
2,6,0.9989906,0.8709102,template1_mac0,80
3,10,0.99930406,0.9154402,template1_mac0,80
4,18,0.9995336,0.96437603,template1_mac0,80
5,genome_wide,0.89786,0.7466999,template1_mac0,80
0,3,0.0014993864,,template0_mac20,300
1,4,0.003001929,,template0_mac20,300
2,6,0.01754728,0.95613205,template0_mac20,300
3,10,0.7458273,0.9144282,template0_mac20,300
4,18,0.9995676,0.9513539,template0_mac20,300
5,genome_wide,0.12530008,0.9305539,template0_mac20,300
0,3,0.9989637,0.190547,template0_mac20,50
1,4,0.99932873,0.3754686,template0_mac20,50
2,6,0.99938166,0.4172,template0_mac20,50
3,10,0.99943036,0.70315206,template0_mac20,50
4,18,0.9995703,0.9187497,template0_mac20,50
5,genome_wide,0.99729043,0.22867855,template0_mac20,50
0,3,0.0044246516,,template1_mac0,200
1,4,0.059117842,0.8913354,template1_mac0,200
2,6,0.8413592,0.9053372,template1_mac0,200
3,10,0.9989696,0.9398977,template1_mac0,200
4,18,0.9994686,0.9633262,template1_mac0,200
5,genome_wide,0.284503,0.92603624,template1_mac0,200
0,3,0.99907,0.03246883,template0_mac20,30
1,4,0.9994065,0.05042857,template0_mac20,30
2,6,0.9994557,0.09799405,template0_mac20,30
3,10,0.99946475,0.23169293,template0_mac20,30
4,18,0.9995815,0.73364526,template0_mac20,30
5,genome_wide,0.99965954,0.07374605,template0_mac20,30
0,3,0.001960178,,template1_mac0,250
1,4,0.005189058,,template1_mac0,250
2,6,0.36073738,0.921375,template1_mac0,250
3,10,0.99876046,0.9404205,template1_mac0,250
4,18,0.99945897,0.9666649,template1_mac0,250
5,genome_wide,0.20255037,0.94161284,template1_mac0,250
0,3,0.9196387,0.7066967,template1_mac20,80
1,4,0.9983215,0.804948,template1_mac20,80
2,6,0.99864554,0.88562167,template1_mac20,80
3,10,0.9990305,0.9199107,template1_mac20,80
4,18,0.9993945,0.9644797,template1_mac20,80
5,genome_wide,0.7703165,0.8206497,template1_mac20,80
0,3,0.0023992094,,template1_mac20,200
1,4,0.008611972,,template1_mac20,200
2,6,0.4788151,0.91844827,template1_mac20,200
3,10,0.99898523,0.94130856,template1_mac20,200
4,18,0.9993869,0.9664019,template1_mac20,200
5,genome_wide,0.22123148,0.93891406,template1_mac20,200
0,3,0.039329935,,template0_mac20,150
1,4,0.3927667,0.7798151,template0_mac20,150
2,6,0.9881108,0.81618387,template0_mac20,150
3,10,0.99942267,0.89130163,template0_mac20,150
4,18,0.9995677,0.93973714,template0_mac20,150
5,genome_wide,0.3799531,0.850187,template0_mac20,150
0,3,0.71891737,0.53830636,template0_mac20,100
1,4,0.98964447,0.64704174,template0_mac20,100
2,6,0.99927694,0.78943753,template0_mac20,100
3,10,0.9994237,0.86976516,template0_mac20,100
4,18,0.9995687,0.93896157,template0_mac20,100
5,genome_wide,0.68693584,0.73961353,template0_mac20,100
0,3,0.0013376833,,template1_mac20,250
1,4,0.002967675,,template1_mac20,250
2,6,0.09765882,0.9351136,template1_mac20,250
3,10,0.9734966,0.94425166,template1_mac20,250
4,18,0.99938655,0.9689358,template1_mac20,250
5,genome_wide,0.15727483,0.9515701,template1_mac20,250
0,3,0.97171026,0.34239224,template0_mac20,80
1,4,0.99928904,0.5864129,template0_mac20,80
2,6,0.9992961,0.7682302,template0_mac20,80
3,10,0.99942493,0.8388646,template0_mac20,80
4,18,0.99956864,0.9378957,template0_mac20,80
5,genome_wide,0.8668991,0.6008651,template0_mac20,80
0,3,0.0012114308,,template1_mac0,300
1,4,0.00284749,,template1_mac0,300
2,6,0.078080945,0.9381579,template1_mac0,300
3,10,0.96591413,0.9437384,template1_mac0,300
4,18,0.9994492,0.9686035,template1_mac0,300
5,genome_wide,0.15339658,0.95160234,template1_mac0,300
0,3,0.010682242,,template1_mac20,150
1,4,0.22529148,0.8761601,template1_mac20,150
2,6,0.973857,0.8981777,template1_mac20,150
3,10,0.99898994,0.9401054,template1_mac20,150
4,18,0.99938625,0.9627404,template1_mac20,150
5,genome_wide,0.33821684,0.9170001,template1_mac20,150
