,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lm
0,3,0.40596923,0.77089596,template1_mac20,100
1,4,0.9512607,0.85135794,template1_mac20,100
2,6,0.99753124,0.9148544,template1_mac20,100
3,10,0.9984692,0.9452061,template1_mac20,100
4,18,0.9990508,0.96868014,template1_mac20,100
5,genome_wide,0.22983468,0.85803455,template1_mac20,100
0,3,0.00019561815,,template0_mac20,250
1,4,0.00034153005,,template0_mac20,250
2,6,0.10319317,0.9159327,template0_mac20,250
3,10,0.98720723,0.9238991,template0_mac20,250
4,18,0.9993065,0.9577,template0_mac20,250
5,genome_wide,0.017226234,0.9282174,template0_mac20,250
0,3,0.00019561815,,template0_mac20,200
1,4,0.006826368,,template0_mac20,200
2,6,0.5215781,0.8961121,template0_mac20,200
3,10,0.998972,0.9201607,template0_mac20,200
4,18,0.9993065,0.9490109,template0_mac20,200
5,genome_wide,0.034295887,0.91054213,template0_mac20,200
0,3,0.0025424468,,template1_mac20,150
1,4,0.1840619,0.9035541,template1_mac20,150
2,6,0.95551574,0.9210144,template1_mac20,150
3,10,0.9984692,0.948887,template1_mac20,150
4,18,0.9990508,0.96343803,template1_mac20,150
5,genome_wide,0.068495005,0.9257309,template1_mac20,150
0,3,0.0060590114,,template1_mac0,300
1,4,0.3181116,0.8860143,template1_mac0,300
2,6,0.99837,0.90870506,template1_mac0,300
3,10,0.9996871,0.94402903,template1_mac0,300
4,18,0.99976313,0.9610346,template1_mac0,300
5,genome_wide,0.083539866,0.91177493,template1_mac0,300
0,3,0.99459845,0.34867844,template1_mac20,50
1,4,0.9964294,0.7009042,template1_mac20,50
2,6,0.99754417,0.79325205,template1_mac20,50
3,10,0.9984814,0.9433254,template1_mac20,50
4,18,0.9990191,0.97182,template1_mac20,50
5,genome_wide,0.9602231,0.09319796,template1_mac20,50
0,3,0.9951516,0.036034457,template1_mac20,30
1,4,0.99653995,0.05125831,template1_mac20,30
2,6,0.99757445,0.2697856,template1_mac20,30
3,10,0.9985401,0.8977793,template1_mac20,30
4,18,0.9990191,0.9629943,template1_mac20,30
5,genome_wide,0.9919579,0.02555023,template1_mac20,30
0,3,0.9990978,0.11293285,template1_mac0,80
1,4,0.99929583,0.07249663,template1_mac0,80
2,6,0.9993987,0.4049979,template1_mac0,80
3,10,0.99969643,0.8976939,template1_mac0,80
4,18,0.99976313,0.9655614,template1_mac0,80
5,genome_wide,0.99821603,0.028754631,template1_mac0,80
0,3,0.00019561815,,template1_mac20,250
1,4,0.00034153005,,template1_mac20,250
2,6,0.06767179,0.9490726,template1_mac20,250
3,10,0.9750178,0.9515462,template1_mac20,250
4,18,0.9990191,0.9729177,template1_mac20,250
5,genome_wide,0.015681403,0.95441437,template1_mac20,250
0,3,0.5847191,0.3306903,template0_mac20,100
1,4,0.9735994,0.5237193,template0_mac20,100
2,6,0.9986316,0.83768696,template0_mac20,100
3,10,0.998972,0.91555434,template0_mac20,100
4,18,0.9993065,0.9514322,template0_mac20,100
5,genome_wide,0.31233013,0.5360875,template0_mac20,100
0,3,0.010351844,,template0_mac20,150
1,4,0.28301278,0.8384998,template0_mac20,150
2,6,0.9763692,0.8605973,template0_mac20,150
3,10,0.998972,0.91931677,template0_mac20,150
4,18,0.9993065,0.9460583,template0_mac20,150
5,genome_wide,0.08023156,0.87154424,template0_mac20,150
0,3,0.00019561815,,template1_mac20,200
1,4,0.0017076503,,template1_mac20,200
2,6,0.43384525,0.9375412,template1_mac20,200
3,10,0.9984692,0.9492177,template1_mac20,200
4,18,0.9990191,0.96558636,template1_mac20,200
5,genome_wide,0.030415667,0.94477165,template1_mac20,200
0,3,0.9974223,0.037690908,template0_mac20,50
1,4,0.9982114,0.096295506,template0_mac20,50
2,6,0.9986403,0.106129795,template0_mac20,50
3,10,0.9989842,0.6382522,template0_mac20,50
4,18,0.9993065,0.9554757,template0_mac20,50
5,genome_wide,0.98344475,0.013862803,template0_mac20,50
0,3,0.99790686,0.003055742,template0_mac20,30
1,4,0.9983828,0.0037069786,template0_mac20,30
2,6,0.9987411,0.008214491,template0_mac20,30
3,10,0.9990373,0.043990634,template0_mac20,30
4,18,0.9993065,0.8063294,template0_mac20,30
5,genome_wide,0.99678767,0.0031307403,template0_mac20,30
0,3,0.8793717,0.6067499,template1_mac20,80
1,4,0.9940767,0.81557024,template1_mac20,80
2,6,0.99753356,0.91308707,template1_mac20,80
3,10,0.9984814,0.9438998,template1_mac20,80
4,18,0.9990508,0.96713066,template1_mac20,80
5,genome_wide,0.46187776,0.66485065,template1_mac20,80
0,3,0.08094245,0.8843709,template1_mac0,250
1,4,0.7798058,0.86143523,template1_mac0,250
2,6,0.9990673,0.90572613,template1_mac0,250
3,10,0.99969643,0.9426503,template1_mac0,250
4,18,0.99976313,0.9639089,template1_mac0,250
5,genome_wide,0.14142086,0.88788635,template1_mac0,250
0,3,0.6200006,0.69229823,template1_mac0,200
1,4,0.9927884,0.80040497,template1_mac0,200
2,6,0.99907106,0.9053599,template1_mac0,200
3,10,0.99969643,0.9397242,template1_mac0,200
4,18,0.99976313,0.9651348,template1_mac0,200
5,genome_wide,0.2883175,0.8011706,template1_mac0,200
0,3,0.0,,template0_mac20,300
1,4,0.0,,template0_mac20,300
2,6,0.004132231,,template0_mac20,300
3,10,0.64938056,0.9318025,template0_mac20,300
4,18,0.9993065,0.9577,template0_mac20,300
5,genome_wide,0.0094895605,0.93872803,template0_mac20,300
0,3,0.99886,0.2608799,template1_mac0,100
1,4,0.9991977,0.41953504,template1_mac0,100
2,6,0.9993892,0.6376146,template1_mac0,100
3,10,0.99969643,0.93528426,template1_mac0,100
4,18,0.99976313,0.96848595,template1_mac0,100
5,genome_wide,0.9952408,0.042930175,template1_mac0,100
0,3,0.9389037,0.11592629,template0_mac20,80
1,4,0.99781656,0.37279528,template0_mac20,80
2,6,0.9986316,0.8140538,template0_mac20,80
3,10,0.9989842,0.906338,template0_mac20,80
4,18,0.9993065,0.9512798,template0_mac20,80
5,genome_wide,0.6025956,0.17084627,template0_mac20,80
0,3,0.99395007,0.3737828,template1_mac0,150
1,4,0.9991323,0.770237,template1_mac0,150
2,6,0.99937433,0.90020335,template1_mac0,150
3,10,0.99969643,0.93965834,template1_mac0,150
4,18,0.99976313,0.96613854,template1_mac0,150
5,genome_wide,0.68045175,0.37299255,template1_mac0,150
0,3,0.0,,template1_mac20,300
1,4,0.0,,template1_mac20,300
2,6,0.0032989546,,template1_mac20,300
3,10,0.6050854,0.95810974,template1_mac20,300
4,18,0.9990191,0.9729177,template1_mac20,300
5,genome_wide,0.008969309,0.96185523,template1_mac20,300
0,3,0.9992891,0.0044844574,template1_mac0,50
1,4,0.99932337,0.009522236,template1_mac0,50
2,6,0.9995684,0.034156352,template1_mac0,50
3,10,0.9997082,0.42632312,template1_mac0,50
4,18,0.99976313,0.93205565,template1_mac0,50
5,genome_wide,0.99853635,0.0051382915,template1_mac0,50
0,3,0.99944496,0.00079146615,template1_mac0,30
1,4,0.9995144,0.0014191396,template1_mac0,30
2,6,0.9996294,0.0033349118,template1_mac0,30
3,10,0.99973106,0.017765472,template1_mac0,30
4,18,0.9998084,0.6137093,template1_mac0,30
5,genome_wide,0.99911106,0.0010355073,template1_mac0,30
