,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lod
0,3,0.015864331,0.9145403,minmac200.0,8.0
1,4,0.078469016,0.93344647,minmac200.0,8.0
2,6,0.26096794,0.95596594,minmac200.0,8.0
3,10,0.5760777,0.9763202,minmac200.0,8.0
4,18,0.8914333,0.9903507,minmac200.0,8.0
5,genome_wide,0.15963863,0.9652058,minmac200.0,8.0
0,3,0.3285873,0.85146844,minmac200.0,3.0
1,4,0.483408,0.91294664,minmac200.0,3.0
2,6,0.6790846,0.94945526,minmac200.0,3.0
3,10,0.88805026,0.9740787,minmac200.0,3.0
4,18,0.98304915,0.98926526,minmac200.0,3.0
5,genome_wide,0.45047277,0.8658755,minmac200.0,3.0
0,3,0.5802388,0.8373175,minmac200.0,2.0
1,4,0.74045396,0.90979505,minmac200.0,2.0
2,6,0.898033,0.948363,minmac200.0,2.0
3,10,0.9792125,0.97334987,minmac200.0,2.0
4,18,0.9964441,0.9890858,minmac200.0,2.0
5,genome_wide,0.6590034,0.813929,minmac200.0,2.0
0,3,0.19959164,0.8691508,minmac200.0,4.0
1,4,0.34786728,0.9179448,minmac200.0,4.0
2,6,0.5654672,0.9516107,minmac200.0,4.0
3,10,0.81839246,0.97461575,minmac200.0,4.0
4,18,0.96806735,0.9894587,minmac200.0,4.0
5,genome_wide,0.34332436,0.91015637,minmac200.0,4.0
0,3,0.32272032,0.86522174,default,3.0
1,4,0.48157957,0.919521,default,3.0
2,6,0.67673457,0.95221037,default,3.0
3,10,0.8865973,0.97394323,default,3.0
4,18,0.9849513,0.9892385,default,3.0
5,genome_wide,0.4522031,0.8648089,default,3.0
0,3,0.32950935,0.86379546,minmac2.0,3.0
1,4,0.47854832,0.9175864,minmac2.0,3.0
2,6,0.68611175,0.95149124,minmac2.0,3.0
3,10,0.89012784,0.9736664,minmac2.0,3.0
4,18,0.9861935,0.9890731,minmac2.0,3.0
5,genome_wide,0.4565393,0.8618847,minmac2.0,3.0
0,3,0.584373,0.8569773,default,2.0
1,4,0.7458251,0.9145924,default,2.0
2,6,0.9085743,0.9504233,default,2.0
3,10,0.9886601,0.9734324,default,2.0
4,18,0.9983613,0.98909,default,2.0
5,genome_wide,0.66851705,0.8265995,default,2.0
0,3,0.98987585,0.85548544,window20.0,1.1
1,4,0.993888,0.913856,window20.0,1.1
2,6,0.9968484,0.94972265,window20.0,1.1
3,10,0.9982692,0.9733271,window20.0,1.1
4,18,0.9990668,0.9890556,window20.0,1.1
5,genome_wide,0.9887052,0.7711469,window20.0,1.1
0,3,0.20969915,0.87793994,window20.0,4.0
1,4,0.3442218,0.9230123,window20.0,4.0
2,6,0.5433167,0.9545029,window20.0,4.0
3,10,0.7947501,0.975798,window20.0,4.0
4,18,0.9519227,0.9901379,window20.0,4.0
5,genome_wide,0.34411943,0.8997072,window20.0,4.0
0,3,0.98489803,0.85406977,minmac2.0,1.1
1,4,0.9912839,0.9128327,minmac2.0,1.1
2,6,0.9957544,0.948998,minmac2.0,1.1
3,10,0.99798375,0.97291315,minmac2.0,1.1
4,18,0.9990266,0.98885214,minmac2.0,1.1
5,genome_wide,0.98530895,0.76633394,minmac2.0,1.1
0,3,0.20361762,0.87776625,default,4.0
1,4,0.34662372,0.9239942,default,4.0
2,6,0.5540225,0.95346624,default,4.0
3,10,0.809865,0.9744589,default,4.0
4,18,0.97038114,0.98940593,default,4.0
5,genome_wide,0.34590662,0.901397,default,4.0
0,3,0.98987585,0.85548544,default,1.1
1,4,0.993888,0.913856,default,1.1
2,6,0.9968484,0.94972265,default,1.1
3,10,0.9982692,0.9733271,default,1.1
4,18,0.9990668,0.9890556,default,1.1
5,genome_wide,0.9885251,0.771239,default,1.1
0,3,0.20991126,0.8766754,minmac2.0,4.0
1,4,0.34419012,0.92123663,minmac2.0,4.0
2,6,0.5587577,0.95283175,minmac2.0,4.0
3,10,0.8130866,0.9741533,minmac2.0,4.0
4,18,0.97123027,0.98920757,minmac2.0,4.0
5,genome_wide,0.34918872,0.8973018,minmac2.0,4.0
0,3,0.59210044,0.8585653,window20.0,2.0
1,4,0.7576257,0.9155928,window20.0,2.0
2,6,0.9084728,0.9507831,window20.0,2.0
3,10,0.9866551,0.9735629,window20.0,2.0
4,18,0.9971853,0.9891706,window20.0,2.0
5,genome_wide,0.67265487,0.82712513,window20.0,2.0
0,3,0.32683775,0.86536247,window20.0,3.0
1,4,0.4808865,0.9192341,window20.0,3.0
2,6,0.67121035,0.9530779,window20.0,3.0
3,10,0.8763586,0.9750031,window20.0,3.0
4,18,0.97798914,0.98969394,window20.0,3.0
5,genome_wide,0.4523678,0.8635033,window20.0,3.0
0,3,0.003996981,0.9184371,scale2.2,8.0
1,4,0.014772219,0.9376846,scale2.2,8.0
2,6,0.054147005,0.96108425,scale2.2,8.0
3,10,0.17335491,0.97846097,scale2.2,8.0
4,18,0.51442945,0.9922195,scale2.2,8.0
5,genome_wide,0.056715526,0.97355205,scale2.2,8.0
0,3,0.37367612,0.85436136,scale2.2,2.0
1,4,0.5484779,0.915295,scale2.2,2.0
2,6,0.7648385,0.95122385,scale2.2,2.0
3,10,0.9403706,0.97369057,scale2.2,2.0
4,18,0.99333763,0.9892307,scale2.2,2.0
5,genome_wide,0.50603366,0.84563,scale2.2,2.0
0,3,0.028327042,0.9108477,window20.0,8.0
1,4,0.09742136,0.9337425,window20.0,8.0
2,6,0.26241037,0.95964974,window20.0,8.0
3,10,0.5449446,0.9783094,window20.0,8.0
4,18,0.834467,0.9917907,window20.0,8.0
5,genome_wide,0.16067198,0.961937,window20.0,8.0
0,3,0.09602396,0.8660935,scale2.2,3.0
1,4,0.1682157,0.91859454,scale2.2,3.0
2,6,0.30588198,0.9541527,scale2.2,3.0
3,10,0.5478852,0.97536165,scale2.2,3.0
4,18,0.8465367,0.99033916,scale2.2,3.0
5,genome_wide,0.20920025,0.8878963,scale2.2,3.0
0,3,0.046406038,0.88186044,scale2.2,4.0
1,4,0.09351758,0.92329687,scale2.2,4.0
2,6,0.1955977,0.95677614,scale2.2,4.0
3,10,0.40263122,0.97631764,scale2.2,4.0
4,18,0.74117833,0.99082106,scale2.2,4.0
5,genome_wide,0.14004041,0.924021,scale2.2,4.0
0,3,0.98987585,0.85548544,scale2.2,1.1
1,4,0.993888,0.913856,scale2.2,1.1
2,6,0.9968484,0.94972265,scale2.2,1.1
3,10,0.9982692,0.9733271,scale2.2,1.1
4,18,0.9990668,0.9890556,scale2.2,1.1
5,genome_wide,0.9885047,0.77120835,scale2.2,1.1
0,3,0.030858664,0.907583,minmac2.0,8.0
1,4,0.10118475,0.9317291,minmac2.0,8.0
2,6,0.27141672,0.95728874,minmac2.0,8.0
3,10,0.5863125,0.97583884,minmac2.0,8.0
4,18,0.8973012,0.9900707,minmac2.0,8.0
5,genome_wide,0.17072804,0.95929015,minmac2.0,8.0
0,3,0.59824175,0.855381,minmac2.0,2.0
1,4,0.76175183,0.914456,minmac2.0,2.0
2,6,0.9114663,0.94968075,minmac2.0,2.0
3,10,0.98709255,0.97300315,minmac2.0,2.0
4,18,0.99800843,0.98889184,minmac2.0,2.0
5,genome_wide,0.6765252,0.82306933,minmac2.0,2.0
0,3,0.028026778,0.90666413,default,8.0
1,4,0.09626969,0.9339244,default,8.0
2,6,0.26888418,0.95756,default,8.0
3,10,0.5766246,0.97617,default,8.0
4,18,0.89768875,0.99029887,default,8.0
5,genome_wide,0.1677002,0.9611894,default,8.0
0,3,0.9828026,0.8372936,minmac200.0,1.1
1,4,0.9878285,0.9098841,minmac200.0,1.1
2,6,0.99208343,0.9476992,minmac200.0,1.1
3,10,0.99504393,0.9731562,minmac200.0,1.1
4,18,0.99736017,0.9889996,minmac200.0,1.1
5,genome_wide,0.9723743,0.7538943,minmac200.0,1.1
