,LenBinStart,RateAOverlapByB,RateBOverlapByA,Set,Lod
0,3,0.85727817,0.9908307,minmac2.0,3.0
1,4,0.94947857,0.99358344,minmac2.0,3.0
2,6,0.9878934,0.9962523,minmac2.0,3.0
3,10,0.99628514,0.99757063,minmac2.0,3.0
4,18,0.9999027,0.9990546,minmac2.0,3.0
5,genome_wide,0.72319716,0.95826703,minmac2.0,3.0
0,3,0.9992601,0.98593634,scale2.2,2.0
1,4,0.9994505,0.9914211,scale2.2,2.0
2,6,0.99967146,0.9953678,scale2.2,2.0
3,10,0.99982655,0.99702746,scale2.2,2.0
4,18,0.9998914,0.9985038,scale2.2,2.0
5,genome_wide,0.99106836,0.92825276,scale2.2,2.0
0,3,0.85727817,0.9908307,minmac2.0,1.1
1,4,0.94947857,0.99358344,minmac2.0,1.1
2,6,0.9878934,0.9962523,minmac2.0,1.1
3,10,0.99628514,0.99757063,minmac2.0,1.1
4,18,0.9999027,0.9990546,minmac2.0,1.1
5,genome_wide,0.72319716,0.95826703,minmac2.0,1.1
0,3,0.9992601,0.98593634,window20.0,8.0
1,4,0.9994505,0.9914211,window20.0,8.0
2,6,0.99967146,0.9953678,window20.0,8.0
3,10,0.99982655,0.99702746,window20.0,8.0
4,18,0.9998914,0.9985038,window20.0,8.0
5,genome_wide,0.9782234,0.93160224,window20.0,8.0
0,3,0.9990722,0.9784884,minmac200.0,1.1
1,4,0.999305,0.98671085,minmac200.0,1.1
2,6,0.999583,0.99293303,minmac200.0,1.1
3,10,0.9997715,0.99606323,minmac200.0,1.1
4,18,0.9998807,0.99752676,minmac200.0,1.1
5,genome_wide,0.9968276,0.8854817,minmac200.0,1.1
0,3,0.9992601,0.98593634,scale2.2,3.0
1,4,0.9994505,0.9914211,scale2.2,3.0
2,6,0.99967146,0.9953678,scale2.2,3.0
3,10,0.99982655,0.99702746,scale2.2,3.0
4,18,0.9998914,0.9985038,scale2.2,3.0
5,genome_wide,0.9910532,0.92825216,scale2.2,3.0
0,3,0.9992601,0.98593634,default,8.0
1,4,0.9994505,0.9914211,default,8.0
2,6,0.99967146,0.9953678,default,8.0
3,10,0.99982655,0.99702746,default,8.0
4,18,0.9998914,0.9985038,default,8.0
5,genome_wide,0.97879833,0.93168163,default,8.0
0,3,0.9992601,0.98593634,scale2.2,4.0
1,4,0.9994505,0.9914211,scale2.2,4.0
2,6,0.99967146,0.9953678,scale2.2,4.0
3,10,0.99982655,0.99702746,scale2.2,4.0
4,18,0.9998914,0.9985038,scale2.2,4.0
5,genome_wide,0.98949915,0.92848706,scale2.2,4.0
0,3,0.9992601,0.98593634,scale2.2,1.1
1,4,0.9994505,0.9914211,scale2.2,1.1
2,6,0.99967146,0.9953678,scale2.2,1.1
3,10,0.99982655,0.99702746,scale2.2,1.1
4,18,0.9998914,0.9985038,scale2.2,1.1
5,genome_wide,0.99106836,0.92825276,scale2.2,1.1
0,3,0.85727817,0.9908307,minmac2.0,4.0
1,4,0.94947857,0.99358344,minmac2.0,4.0
2,6,0.9878934,0.9962523,minmac2.0,4.0
3,10,0.99628514,0.99757063,minmac2.0,4.0
4,18,0.9999027,0.9990546,minmac2.0,4.0
5,genome_wide,0.72319716,0.95826703,minmac2.0,4.0
0,3,0.9992601,0.98593634,window20.0,1.1
1,4,0.9994505,0.9914211,window20.0,1.1
2,6,0.99967146,0.9953678,window20.0,1.1
3,10,0.99982655,0.99702746,window20.0,1.1
4,18,0.9998914,0.9985038,window20.0,1.1
5,genome_wide,0.99106836,0.92825276,window20.0,1.1
0,3,0.9992601,0.98593634,window20.0,4.0
1,4,0.9994505,0.9914211,window20.0,4.0
2,6,0.99967146,0.9953678,window20.0,4.0
3,10,0.99982655,0.99702746,window20.0,4.0
4,18,0.9998914,0.9985038,window20.0,4.0
5,genome_wide,0.99106836,0.9282819,window20.0,4.0
0,3,0.9992601,0.98593634,default,3.0
1,4,0.9994505,0.9914211,default,3.0
2,6,0.99967146,0.9953678,default,3.0
3,10,0.99982655,0.99702746,default,3.0
4,18,0.9998914,0.9985038,default,3.0
