,LenBinStart,RateAOverlapByB,RateBOverlapByA,Maf,MinSnp
0,3,0.38182563,0.94031113,0.03,20
1,4,0.7074937,0.9498251,0.03,20
2,6,0.9087267,0.9687692,0.03,20
3,10,0.9760642,0.98474616,0.03,20
4,18,0.99076027,0.9941192,0.03,20
5,genome_wide,0.3190737,0.94131595,0.03,20
0,3,0.00040566365,,0.3,80
1,4,0.0006621096,,0.3,80
2,6,0.007097623,,0.3,80
3,10,0.21505514,0.98154956,0.3,80
4,18,0.97583294,0.9882131,0.3,80
5,genome_wide,0.017560441,0.98584944,0.3,80
0,3,5.5735145e-05,,0.3,160
1,4,0.0002284209,,0.3,160
2,6,0.0006172727,,0.3,160
3,10,0.0033332934,,0.3,160
4,18,0.34126148,0.99364376,0.3,160
5,genome_wide,0.0041418388,0.9935333,0.3,160
0,3,0.38182563,0.94031113,0.03,3
1,4,0.7074937,0.9498251,0.03,3
2,6,0.9087267,0.9687692,0.03,3
3,10,0.9760642,0.98474616,0.03,3
4,18,0.99076027,0.9941192,0.03,3
5,genome_wide,0.3190737,0.94131595,0.03,3
0,3,0.38182563,0.94031113,0.03,15
1,4,0.7074937,0.9498251,0.03,15
2,6,0.9087267,0.9687692,0.03,15
3,10,0.9760642,0.98474616,0.03,15
4,18,0.99076027,0.9941192,0.03,15
5,genome_wide,0.3190737,0.94131595,0.03,15
0,3,0.02797328,0.9356441,0.0,15
1,4,0.05963237,0.9407486,0.0,15
2,6,0.14991409,0.9428131,0.0,15
3,10,0.41950303,0.9367288,0.0,15
4,18,0.80623114,0.952028,0.0,15
5,genome_wide,0.051343914,0.9089828,0.0,15
0,3,0.29385284,0.9381446,0.01,20
1,4,0.5832899,0.9461903,0.01,20
2,6,0.85592806,0.9602775,0.01,20
3,10,0.96561885,0.98082894,0.01,20
4,18,0.9884318,0.9931768,0.01,20
5,genome_wide,0.2695611,0.93853563,0.01,20
0,3,0.29385284,0.9381446,0.01,15
1,4,0.5832899,0.9461903,0.01,15
2,6,0.85592806,0.9602775,0.01,15
3,10,0.96561885,0.98082894,0.01,15
4,18,0.9884318,0.9931768,0.01,15
5,genome_wide,0.2695611,0.93853563,0.01,15
0,3,0.0029491659,,0.3,40
1,4,0.028373947,0.95569557,0.3,40
2,6,0.45906788,0.95812535,0.3,40
3,10,0.95014185,0.97344035,0.3,40
4,18,0.98018813,0.98822445,0.3,40
5,genome_wide,0.07273969,0.96760726,0.3,40
0,3,0.02797328,0.9356441,0.0,20
1,4,0.05963237,0.9407486,0.0,20
2,6,0.14991409,0.9428131,0.0,20
3,10,0.41950303,0.9367288,0.0,20
4,18,0.80623114,0.952028,0.0,20
5,genome_wide,0.051343914,0.9089828,0.0,20
0,3,0.027150624,0.90717775,0.3,3
1,4,0.15926589,0.93957347,0.3,3
2,6,0.713003,0.9543366,0.3,3
3,10,0.9559783,0.97346145,0.3,3
4,18,0.98018813,0.98822445,0.3,3
5,genome_wide,0.115241766,0.95078635,0.3,3
0,3,0.00047799197,,0.1,160
1,4,0.0014361042,,0.1,160
2,6,0.007006406,0.9667689,0.1,160
3,10,0.59017223,0.9864929,0.1,160
4,18,0.99021554,0.9938206,0.1,160
5,genome_wide,0.027948126,0.98948514,0.1,160
0,3,0.027150624,0.90717775,0.3,10
1,4,0.15926589,0.93957347,0.3,10
2,6,0.713003,0.9543366,0.3,10
3,10,0.9559783,0.97346145,0.3,10
4,18,0.98018813,0.98822445,0.3,10
5,genome_wide,0.115241766,0.95078635,0.3,10
0,3,0.29385284,0.9381446,0.01,3
1,4,0.5832899,0.9461903,0.01,3
2,6,0.85592806,0.9602775,0.01,3
3,10,0.96561885,0.98082894,0.01,3
4,18,0.9884318,0.9931768,0.01,3
5,genome_wide,0.2695611,0.93853563,0.01,3
0,3,0.33627898,0.9430066,0.1,3
1,4,0.73181593,0.95338696,0.1,3
2,6,0.9299497,0.9711817,0.1,3
3,10,0.97737443,0.9844584,0.1,3
