,LenBinStart,RateAOverlapByB,RateBOverlapByA,N,M
0,3,0.9802803,0.865325,9999999,2
1,4,0.98721004,0.92351484,9999999,2
2,6,0.99179673,0.9609584,9999999,2
3,10,0.99543643,0.9805316,9999999,2
4,18,0.99762064,0.9919259,9999999,2
5,genome_wide,0.89575666,0.73272705,9999999,2
0,3,0.97735554,0.8786638,9999999,10
1,4,0.98520356,0.93382865,9999999,10
2,6,0.9912104,0.96335226,9999999,10
3,10,0.9952759,0.9808286,9999999,10
4,18,0.9976253,0.99199784,9999999,10
5,genome_wide,0.9145397,0.7062978,9999999,10
0,3,0.98165864,0.8609498,10,5
1,4,0.9870078,0.9241149,10,5
2,6,0.9916694,0.96137285,10,5
3,10,0.99537677,0.9807017,10,5
4,18,0.997617,0.99196225,10,5
5,genome_wide,0.91935575,0.70350635,10,5
0,3,0.97906923,0.8703682,9999999,5
1,4,0.9857759,0.93147075,9999999,5
2,6,0.99129754,0.96294457,9999999,5
3,10,0.9952962,0.9808202,9999999,5
4,18,0.9976253,0.99199784,9999999,5
5,genome_wide,0.92381203,0.6919931,9999999,5
0,3,0.9811505,0.8595409,30,5
1,4,0.98631185,0.92753845,30,5
2,6,0.991378,0.96259886,30,5
3,10,0.9953044,0.9807982,30,5
4,18,0.9976253,0.99199784,30,5
5,genome_wide,0.9324303,0.674977,30,5
0,3,0.9811505,0.85942715,30,10
1,4,0.98629713,0.92754424,30,10
2,6,0.9913621,0.96262926,30,10
3,10,0.99529475,0.98080677,30,10
4,18,0.9976253,0.99199784,30,10
5,genome_wide,0.9327833,0.67370355,30,10
0,3,0.98165864,0.86091286,10,10
1,4,0.9870078,0.9241149,10,10
2,6,0.9916694,0.96137285,10,10
3,10,0.99537677,0.9807017,10,10
4,18,0.997617,0.99196225,10,10
5,genome_wide,0.91935575,0.70348346,10,10
0,3,0.9802803,0.865325,10,2
1,4,0.98721004,0.9235126,10,2
2,6,0.99179673,0.9609584,10,2
3,10,0.99543643,0.9805316,10,2
4,18,0.99762064,0.9919259,10,2
5,genome_wide,0.8957502,0.7327324,10,2
0,3,0.9802803,0.865325,100,2
1,4,0.98721004,0.92351484,100,2
2,6,0.99179673,0.9609584,100,2
3,10,0.99543643,0.9805316,100,2
4,18,0.99762064,0.9919259,100,2
5,genome_wide,0.89575666,0.73272705,100,2
0,3,0.97735554,0.8786638,300,10
1,4,0.98520356,0.93382865,300,10
2,6,0.9912104,0.96335226,300,10
3,10,0.9952759,0.9808286,300,10
4,18,0.9976253,0.99199784,300,10
5,genome_wide,0.9146164,0.7061076,300,10
0,3,0.9802803,0.865325,30,2
1,4,0.98721004,0.92351484,30,2
2,6,0.99179673,0.9609584,30,2
3,10,0.99543643,0.9805316,30,2
4,18,0.99762064,0.9919259,30,2
5,genome_wide,0.89575666,0.73272705,30,2
0,3,0.97906923,0.8703682,300,5
1,4,0.9857759,0.93147075,300,5
2,6,0.99129754,0.96294457,300,5
3,10,0.9952962,0.9808202,300,5
4,18,0.9976253,0.99199784,300,5
5,genome_wide,0.92381203,0.6919931,300,5
0,3,0.9791314,0.8697145,100,5
1,4,0.98577833,0.9314011,100,5
2,6,0.99129754,0.96294457,100,5
3,10,0.9952962,0.9808202,100,5
4,18,0.9976253,0.99199784,100,5
5,genome_wide,0.9263367,0.684915,100,5
0,3,0.9802803,0.865325,300,2
1,4,0.98721004,0.92351484,300,2
2,6,0.99179673,0.9609584,300,2
3,10,0.99543643,0.9805316,300,2
4,18,0.99762064,0.9919259,300,2
5,genome_wide,0.89575666,0.73272705,300,2
0,3,0.9782329,0.8720236,100,10
1,4,0.9853375,0.9328923,100,10
2,6,0.9912104,0.96335226,100,10
3,10,0.9952759,0.9808286,100,10
4,18,0.9976253,0.99199784,100,10
5,genome_wide,0.92661256,0.6784484,100,10
