,LenBinStart,RateAOverlapByB,RateBOverlapByA,N,M
0,3,0.9671918,0.887951,100,10
1,4,0.9777329,0.9334852,100,10
2,6,0.9864003,0.96218145,100,10
3,10,0.9924334,0.98050874,100,10
4,18,0.9968098,0.99178624,100,10
5,genome_wide,0.9360276,0.85655075,100,10
0,3,0.96983165,0.87550944,300,2
1,4,0.9803618,0.9245103,300,2
2,6,0.9872944,0.9587761,300,2
3,10,0.9926583,0.97971874,300,2
4,18,0.99683225,0.9916532,300,2
5,genome_wide,0.92934346,0.860889,300,2
0,3,0.9678199,0.8866974,100,5
1,4,0.97817636,0.93227893,100,5
2,6,0.9865229,0.96178406,100,5
3,10,0.99245566,0.98040676,100,5
4,18,0.9968106,0.991775,100,5
5,genome_wide,0.9358137,0.8570329,100,5
0,3,0.96773314,0.88729376,300,5
1,4,0.9781711,0.9323073,300,5
2,6,0.9865228,0.9617842,300,5
3,10,0.99245566,0.98040676,300,5
4,18,0.99681073,0.9917752,300,5
5,genome_wide,0.9344778,0.8591539,300,5
0,3,0.96983165,0.87550944,100,2
1,4,0.9803618,0.9245103,100,2
2,6,0.9872944,0.9587761,100,2
3,10,0.9926583,0.97971874,100,2
4,18,0.99683225,0.9916532,100,2
5,genome_wide,0.92934346,0.860889,100,2
0,3,0.9664372,0.8909742,300,10
1,4,0.97764415,0.9338944,300,10
2,6,0.98639756,0.9621992,300,10
3,10,0.9924334,0.98050874,300,10
4,18,0.99680984,0.99178624,300,10
5,genome_wide,0.93147933,0.8629388,300,10
0,3,0.971172,0.8738523,10,10
1,4,0.9801814,0.9248129,10,10
2,6,0.9871709,0.9592187,10,10
3,10,0.9926098,0.9798289,10,10
4,18,0.99682415,0.99170285,10,10
5,genome_wide,0.9383829,0.8529337,10,10
0,3,0.971172,0.8738566,10,5
1,4,0.9801814,0.9248129,10,5
2,6,0.9871709,0.9592187,10,5
3,10,0.9926098,0.9798287,10,5
4,18,0.9968243,0.9917014,10,5
5,genome_wide,0.93830657,0.8529895,10,5
0,3,0.97043747,0.8775043,30,10
1,4,0.9793984,0.92801166,30,10
2,6,0.9867438,0.9608196,30,10
3,10,0.99246067,0.98034155,30,10
4,18,0.9968103,0.9917823,30,10
5,genome_wide,0.9427164,0.8479462,30,10
0,3,0.9704207,0.87761587,30,5
1,4,0.979403,0.927998,30,5
2,6,0.9867595,0.96078914,30,5
3,10,0.99247575,0.98030317,30,5
4,18,0.9968106,0.99177384,30,5
5,genome_wide,0.9422297,0.8487461,30,5
0,3,0.9664372,0.8909742,9999999,10
1,4,0.97764415,0.9338944,9999999,10
2,6,0.98639756,0.9621992,9999999,10
3,10,0.9924334,0.98050874,9999999,10
4,18,0.99680984,0.99178624,9999999,10
5,genome_wide,0.9314767,0.86294425,9999999,10
0,3,0.96773314,0.88729376,9999999,5
1,4,0.9781711,0.9323073,9999999,5
2,6,0.9865228,0.9617842,9999999,5
3,10,0.99245566,0.98040676,9999999,5
4,18,0.99681073,0.9917752,9999999,5
5,genome_wide,0.9344778,0.8591539,9999999,5
0,3,0.9698498,0.8754496,10,2
1,4,0.98037076,0.92444277,10,2
2,6,0.98730296,0.95874983,10,2
3,10,0.9926633,0.9796999,10,2
4,18,0.9968324,0.99165165,10,2
5,genome_wide,0.9293206,0.8608983,10,2
0,3,0.96983165,0.87550944,30,2
1,4,0.9803618,0.9245103,30,2
2,6,0.9872944,0.9587761,30,2
3,10,0.9926583,0.97971874,30,2
4,18,0.99683225,0.9916532,30,2
5,genome_wide,0.92934346,0.860889,30,2
0,3,0.96983165,0.87550944,9999999,2
1,4,0.9803618,0.9245103,9999999,2
2,6,0.9872944,0.9587761,9999999,2
3,10,0.9926583,0.97971874,9999999,2
4,18,0.99683225,0.9916532,9999999,2
5,genome_wide,0.92934346,0.860889,9999999,2
