,LenBinStart,RateAOverlapByB,RateBOverlapByA,N,M
0,3,0.98134196,0.65258116,10,5
1,4,0.9873353,0.8932306,10,5
2,6,0.9913909,0.9608697,10,5
3,10,0.99524176,0.98208195,10,5
4,18,0.99760157,0.99130595,10,5
5,genome_wide,0.92785823,0.3311036,10,5
0,3,0.9806281,0.6545687,30,5
1,4,0.9869112,0.90123636,30,5
2,6,0.9910389,0.96181506,30,5
3,10,0.99521697,0.98222697,30,5
4,18,0.99760157,0.99130595,30,5
5,genome_wide,0.92877823,0.30093613,30,5
0,3,0.9739512,0.804431,9999999,10
1,4,0.9845674,0.92890805,9999999,10
2,6,0.990513,0.96430296,9999999,10
3,10,0.9950827,0.9826916,9999999,10
4,18,0.99760157,0.99130595,9999999,10
5,genome_wide,0.88166463,0.43445507,9999999,10
0,3,0.98134196,0.65258116,10,10
1,4,0.9873353,0.8932306,10,10
2,6,0.9913909,0.9608697,10,10
3,10,0.99524176,0.98208195,10,10
4,18,0.99760157,0.99130595,10,10
5,genome_wide,0.92785823,0.33095515,10,10
0,3,0.98144865,0.66355956,10,2
1,4,0.98736614,0.8930904,10,2
2,6,0.9913984,0.9606731,10,2
3,10,0.99524176,0.98208195,10,2
4,18,0.99760157,0.99130595,10,2
5,genome_wide,0.9240008,0.35492468,10,2
0,3,0.98142695,0.6639391,30,2
1,4,0.9873613,0.8930854,30,2
2,6,0.9913984,0.9606731,30,2
3,10,0.99524176,0.98208195,30,2
4,18,0.99760157,0.99130595,30,2
5,genome_wide,0.9239359,0.35471871,30,2
0,3,0.9806281,0.65376794,30,10
1,4,0.9869083,0.9012361,30,10
2,6,0.99103385,0.96182424,30,10
3,10,0.995183,0.98239416,30,10
4,18,0.99760157,0.99130595,30,10
5,genome_wide,0.9288441,0.29738858,30,10
0,3,0.98142695,0.6639391,9999999,2
1,4,0.9873613,0.8930854,9999999,2
2,6,0.9913984,0.9606731,9999999,2
3,10,0.99524176,0.98208195,9999999,2
4,18,0.99760157,0.99130595,9999999,2
5,genome_wide,0.9239359,0.35471871,9999999,2
0,3,0.97760165,0.7410374,300,5
1,4,0.98578364,0.91847324,300,5
2,6,0.99082,0.9633434,300,5
3,10,0.99513704,0.98247284,300,5
4,18,0.99760157,0.99130595,300,5
5,genome_wide,0.9072857,0.3570972,300,5
0,3,0.97806966,0.7132552,100,10
1,4,0.985418,0.9202263,100,10
2,6,0.9906448,0.96395016,100,10
3,10,0.9950827,0.9826916,100,10
4,18,0.99760157,0.99130595,100,10
5,genome_wide,0.91788995,0.31003517,100,10
0,3,0.98142695,0.6639391,100,2
1,4,0.9873613,0.8930854,100,2
2,6,0.9913984,0.9606731,100,2
3,10,0.99524176,0.98208195,100,2
4,18,0.99760157,0.99130595,100,2
5,genome_wide,0.9239359,0.35471871,100,2
0,3,0.98142695,0.6639391,300,2
1,4,0.9873613,0.8930854,300,2
2,6,0.9913984,0.9606731,300,2
3,10,0.99524176,0.98208195,300,2
4,18,0.99760157,0.99130595,300,2
5,genome_wide,0.9239359,0.35471871,300,2
0,3,0.9783711,0.71400094,100,5
1,4,0.98599607,0.91753876,100,5
2,6,0.99082,0.9633434,100,5
3,10,0.99513704,0.98247284,100,5
4,18,0.99760157,0.99130595,100,5
5,genome_wide,0.9179378,0.320844,100,5
0,3,0.97413945,0.79948777,300,10
1,4,0.9845681,0.9285112,300,10
2,6,0.990513,0.96430296,300,10
3,10,0.9950827,0.9826916,300,10
4,18,0.99760157,0.99130595,300,10
5,genome_wide,0.8868016,0.4070449,300,10
0,3,0.97760165,0.7410374,9999999,5
1,4,0.98578364,0.91847324,9999999,5
2,6,0.99082,0.9633434,9999999,5
3,10,0.99513704,0.98247284,9999999,5
4,18,0.99760157,0.99130595,9999999,5
5,genome_wide,0.9072857,0.35711247,9999999,5
